,m1 rid,m1 algorithm,m1 configuration,m2 rid,m2 algorithm,m2 configuration,m2 runtime,doublefault_norm,doublefault,disagreement,yulesq,correlation,kappa-error
0,742,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 3.311703641340683e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.7950492821687551, 'XT:max_features': 0.6532006324418207, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 7, 'XT:n_estimators': 164}",735,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 4.967472212806914e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.8678844492673505, 'XT:max_features': 0.5315368478860958, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 7, 'XT:n_estimators': 20}",3.151848316192627,0.957,0.043,0.013,0.9989166297335893,0.8658738361836146,0.030087498272360968
1,742,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 3.311703641340683e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.7950492821687551, 'XT:max_features': 0.6532006324418207, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 7, 'XT:n_estimators': 164}",131,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': False, 'RF:ccp_alpha': 0.0007557835956638945, 'RF:criterion': 'entropy', 'RF:max_features': 0.34783058011455736, 'RF:min_samples_leaf': 2, 'RF:min_samples_split': 10, 'RF:n_estimators': 40}",13.445468187332153,0.957,0.043,0.018000000000000002,0.998416194412136,0.8259636971666242,0.024163908461429125
2,742,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 3.311703641340683e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.7950492821687551, 'XT:max_features': 0.6532006324418207, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 7, 'XT:n_estimators': 164}",296,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.00021348518674380618, 'RF:criterion': 'entropy', 'RF:max_features': 0.49210656234577244, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 4, 'RF:n_estimators': 15}",5.888449192047119,0.963,0.037,0.018000000000000002,0.9954344414324442,0.7951249940754046,0.16384476904496048
3,742,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 3.311703641340683e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.7950492821687551, 'XT:max_features': 0.6532006324418207, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 7, 'XT:n_estimators': 164}",493,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 0.2982084830667188, 'GB:learning_rate': 0.07224504787524129, 'GB:min_samples_leaf': 39}",6.049346446990967,0.962,0.038,0.022,0.9941381716678297,0.7668529307553669,0.12901702337762702
4,742,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 3.311703641340683e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.7950492821687551, 'XT:max_features': 0.6532006324418207, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 7, 'XT:n_estimators': 164}",713,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 0.0006486302743541944, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.584756492037794, 'XT:max_features': 0.6616199546696534, 'XT:min_samples_leaf': 2, 'XT:min_samples_split': 2, 'XT:n_estimators': 91}",10.490814924240112,0.959,0.041,0.017,0.9973108548378754,0.8231884116736999,0.06878661265801252
5,742,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 3.311703641340683e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.7950492821687551, 'XT:max_features': 0.6532006324418207, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 7, 'XT:n_estimators': 164}",121,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 0.7936149881461008, 'GB:learning_rate': 0.34235925993735966, 'GB:min_samples_leaf': 10}",6.652316331863403,0.966,0.034,0.026,0.989727626459144,0.7104975556660502,0.21948333221693792
6,742,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 3.311703641340683e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.7950492821687551, 'XT:max_features': 0.6532006324418207, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 7, 'XT:n_estimators': 164}",138,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 1.1180114415074837e-10, 'GB:learning_rate': 0.17385767297714247, 'GB:min_samples_leaf': 2}",6.585104942321777,0.961,0.039,0.016,0.9967492889069485,0.8222285755852278,0.11789135240136647
7,735,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 4.967472212806914e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.8678844492673505, 'XT:max_features': 0.5315368478860958, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 7, 'XT:n_estimators': 20}",131,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': False, 'RF:ccp_alpha': 0.0007557835956638945, 'RF:criterion': 'entropy', 'RF:max_features': 0.34783058011455736, 'RF:min_samples_leaf': 2, 'RF:min_samples_split': 10, 'RF:n_estimators': 40}",13.445468187332153,0.954,0.046,0.020999999999999998,0.9951652642833899,0.8039379666671584,0.12881438608669551
8,735,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 4.967472212806914e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.8678844492673505, 'XT:max_features': 0.5315368478860958, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 7, 'XT:n_estimators': 20}",296,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.00021348518674380618, 'RF:criterion': 'entropy', 'RF:max_features': 0.49210656234577244, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 4, 'RF:n_estimators': 15}",5.888449192047119,0.961,0.039,0.023,0.9934608468203366,0.7622591729617662,0.28699869621903523
9,735,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 4.967472212806914e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.8678844492673505, 'XT:max_features': 0.5315368478860958, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 7, 'XT:n_estimators': 20}",493,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 0.2982084830667188, 'GB:learning_rate': 0.07224504787524129, 'GB:min_samples_leaf': 39}",6.049346446990967,0.961,0.039,0.028999999999999998,0.9885114065320859,0.7136885695435015,0.26529745741792155
