,size,true size,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo,doublefault_norm,doublefault,disagreement,yulesq,correlation,kappa-error
0,2,2,19,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 2, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'micro_f1', 'WV:weighting': 'rescaled'}",1.2524175643920898,0.7002531645569621,0.6738602032712453,0.675035638066694,0.7002531645569621,0.6784163178263801,[0.73096447 0.58910891 0.66371681 0.65128205 0.75700935],0.7002531645569621,0.6738602032712453,[0.78832117 0.595      0.71428571 0.58525346 0.68644068],0.7995472574070297,0.753,0.247,0.114,0.96,0.73,0.125
1,3,3,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",2.6113438606262207,0.699746835443038,0.6977668840161207,0.6788547385332105,0.699746835443038,0.6697453192204911,[0.77173913 0.52631579 0.6975     0.56818182 0.78498986],0.699746835443038,0.6977668840161207,[0.77737226 0.7        0.66428571 0.69124424 0.6559322 ],0.8107242894425518,0.803,0.197,0.218,0.773,0.486,0.21
2,4,4,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",3.128263473510742,0.7113924050632912,0.708743603850451,0.6920076018003687,0.7113924050632912,0.6839125397204291,[0.8        0.55813953 0.65350877 0.60580913 0.80210526],0.7113924050632912,0.708743603850451,[0.79562044 0.72       0.70952381 0.67281106 0.64576271],0.8174636246953146,0.806,0.194,0.229,0.757,0.464,0.215
3,5,5,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",3.551572322845459,0.7179746835443038,0.7134435717145825,0.6966171221930868,0.7179746835443038,0.6883647375831998,[0.79144385 0.54681648 0.72727273 0.6        0.77629063],0.7179746835443038,0.7134435717145825,[0.81021898 0.73       0.64761905 0.69124424 0.68813559],0.8205935063483081,0.802,0.198,0.226,0.769,0.473,0.211
4,6,6,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 6, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",3.92138409614563,0.7154430379746836,0.7149813454229572,0.6947698281350165,0.7154430379746836,0.6849851699756881,[0.80181818 0.54612546 0.70025189 0.58237548 0.79435484],0.7154430379746836,0.7149813454229572,[0.80474453 0.74       0.66190476 0.70046083 0.66779661],0.821076162235433,0.8,0.2,0.22,0.783,0.486,0.199
5,7,7,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 7, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",4.441919565200806,0.7220253164556962,0.7134637110789688,0.6995743107917078,0.7220253164556962,0.6913651210885939,[0.80143113 0.57370518 0.71168831 0.5951417  0.77485929],0.7220253164556962,0.7134637110789688,[0.81751825 0.72       0.65238095 0.67741935 0.7       ],0.8214172923602141,0.798,0.202,0.213,0.797,0.501,0.191
6,8,8,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 8, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",4.7293009757995605,0.7149367088607594,0.7048803460563626,0.6919248860688747,0.7149367088607594,0.6844431256473946,[0.80284192 0.56031128 0.68069307 0.60869565 0.7696737 ],0.7149367088607594,0.7048803460563626,[0.82481752 0.72       0.6547619  0.64516129 0.67966102],0.816334875720695,0.794,0.206,0.208,0.809,0.514,0.186
7,9,9,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 9, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",5.194584846496582,0.7179746835443038,0.7013656229445919,0.6941872257993749,0.7179746835443038,0.6897045789441332,[0.79577465 0.58995816 0.68205128 0.62672811 0.7540107 ],0.7179746835443038,0.7013656229445919,[0.82481752 0.705      0.63333333 0.62672811 0.71694915],0.81505018145448,0.791,0.209,0.203,0.818,0.526,0.181
8,10,10,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 10, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",5.634852409362793,0.7210126582278481,0.7064347764447696,0.6983328323380891,0.7210126582278481,0.6928898916456294,[0.80392157 0.59166667 0.6773399  0.63013699 0.76138434],0.7210126582278481,0.7064347764447696,[0.8229927  0.71       0.6547619  0.6359447  0.70847458],0.8179526603839553,0.789,0.211,0.199,0.827,0.536,0.176
9,11,11,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 11, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",6.218439102172852,0.7043037974683545,0.6873456320019278,0.6790491483983482,0.7043037974683545,0.6734160595286666,[0.79069767 0.56666667 0.6641604  0.59555556 0.75      ],0.7043037974683545,0.6873456320019278,[0.80656934 0.68       0.63095238 0.61751152 0.70169492],0.8065345444228567,0.787,0.213,0.197,0.833,0.541,0.177
10,12,12,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 12, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",6.420279264450073,0.7043037974683545,0.6865517112872535,0.6788664944962294,0.7043037974683545,0.6741096061262689,[0.78321678 0.56846473 0.66334165 0.60368664 0.75183824],0.7043037974683545,0.6865517112872535,[0.81751825 0.685      0.63333333 0.60368664 0.69322034],0.8060595826940602,0.785,0.215,0.194,0.839,0.549,0.173
11,13,13,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 13, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",6.938447713851929,0.7058227848101266,0.6874505279613412,0.6811739617441089,0.7058227848101266,0.6774589703252192,[0.78298611 0.58227848 0.66       0.61611374 0.74591652],0.7058227848101266,0.6874505279613412,[0.8229927  0.69       0.62857143 0.59907834 0.69661017],0.8065578237189704,0.782,0.218,0.19,0.846,0.557,0.172
12,14,14,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 14, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",7.293064594268799,0.7048101265822785,0.6859414515264348,0.6793106480821581,0.7048101265822785,0.6753257952852569,[0.78200692 0.58227848 0.66497462 0.60280374 0.74456522],0.7048101265822785,0.6859414515264348,[0.82481752 0.69       0.62380952 0.59447005 0.69661017],0.8057632599479222,0.781,0.219,0.187,0.852,0.565,0.168
13,15,15,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 15, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",7.7294957637786865,0.7073417721518988,0.6900184708077657,0.6832985473601647,0.7073417721518988,0.6788909935046585,[0.77854671 0.59227468 0.66583541 0.60550459 0.75229358],0.7073417721518988,0.6900184708077657,[0.82116788 0.69       0.63571429 0.60829493 0.69491525],0.8079828849937788,0.78,0.22,0.185,0.856,0.57,0.165
14,16,16,31,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 16, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'bw_quadratic'}",1.4344360828399658,0.7184810126582278,0.6844089417531208,0.6898920516528871,0.7184810126582278,0.6990790455588343,[0.7392     0.61979167 0.69739953 0.68131868 0.75768535],0.7184810126582278,0.6844089417531208,[0.84306569 0.595      0.70238095 0.57142857 0.71016949],0.8076049202812446,0.779,0.221,0.184,0.859,0.572,0.164
15,17,17,25,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 17, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'bw_quadratic'}",1.536085844039917,0.7189873417721518,0.6854089417531208,0.6907671274116033,0.7189873417721518,0.6998035649346506,[0.7392     0.62176166 0.69905213 0.68131868 0.75768535],0.7189873417721518,0.6854089417531208,[0.84306569 0.6        0.70238095 0.57142857 0.71016949],0.8081104582559282,0.779,0.221,0.182,0.862,0.576,0.162
16,18,18,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 18, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",9.184355735778809,0.7083544303797469,0.6881103932643524,0.6823389018077457,0.7083544303797469,0.679108353352729,[0.77969019 0.59148936 0.67005076 0.6047619  0.74954955],0.7083544303797469,0.6881103932643524,[0.82664234 0.695      0.62857143 0.58525346 0.70508475],0.807408185188433,0.779,0.221,0.181,0.864,0.577,0.161
17,19,19,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 19, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",9.478036642074585,0.7032911392405063,0.6840140907516163,0.6774862517537159,0.7032911392405063,0.6732962046080266,[0.77931034 0.58369099 0.66084788 0.59447005 0.74816176],0.7032911392405063,0.6840140907516163,[0.82481752 0.68       0.63095238 0.59447005 0.68983051],0.8046848232628393,0.778,0.222,0.18,0.867,0.58,0.16
18,20,20,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 20, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",10.087724208831787,0.7048101265822785,0.687035367889179,0.6800132297855953,0.7048101265822785,0.6754095621453056,[0.77720207 0.58369099 0.66751269 0.5990991  0.74954296],0.7048101265822785,0.687035367889179,[0.82116788 0.68       0.62619048 0.61290323 0.69491525],0.8062253164683857,0.777,0.223,0.18,0.867,0.581,0.159
