,model type,k,wanted k,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo
0,Fusion,3,3,8,BKS,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'BKS'}",24.467119216918945,0.8476428571428571,0.8476428571428573,0.8456862947106153,0.8476428571428571,0.8463634656229468,"[0.7777027  0.97322721 0.75312935 0.83676269 0.71215075 0.93966152
 0.69152855 0.90821256 0.93037975 0.9408796 ]",0.8476428571428571,0.8476428571428573,"[0.82214286 0.96071429 0.77357143 0.87142857 0.78285714 0.91214286
 0.53642857 0.94       0.945      0.93214286]",0.9153571428571432
1,Model,3,3,22,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'XT:bootstrap': True, 'XT:ccp_alpha': 0.000801647048125263, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 0.3555812374756635, 'XT:max_features': 0.12726046930054097, 'XT:min_samples_leaf': 10, 'XT:min_samples_split': 10, 'XT:n_estimators': 69}",464.31899881362915,0.8458571428571429,0.8458571428571429,0.8438233237355209,0.8458571428571429,0.8441612911510787,"[0.7918956  0.96974063 0.75813296 0.82795699 0.70542129 0.94135115
 0.67663043 0.90329218 0.92897328 0.93821839]",0.8458571428571429,0.8458571428571429,"[0.82357143 0.96142857 0.76571429 0.88       0.77142857 0.90571429
 0.53357143 0.94071429 0.94357143 0.93285714]",0.9143650793650797
2,Model,3,3,15,PA,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'PA', 'PA:C': 0.36236834702789744, 'PA:average': True, 'PA:loss': 'squared_hinge', 'PA:tol': 0.0003120930245927086}",301.66535663604736,0.8455,0.8455,0.8434753976020944,0.8455,0.8437617855229055,"[0.79175258 0.96832253 0.75759717 0.82784129 0.70707733 0.94135115
 0.67660343 0.90329218 0.9255618  0.93821839]",0.8455,0.8455,"[0.82285714 0.96071429 0.76571429 0.87928571 0.77071429 0.90571429
 0.535      0.94071429 0.94142857 0.93285714]",0.9141666666666671
3,Model,3,3,18,SGD,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SGD', 'SGD:alpha': 0.04392032080157967, 'SGD:average': True, 'SGD:epsilon': 0.0029628596069570874, 'SGD:learning_rate': 'constant', 'SGD:loss': 'modified_huber', 'SGD:penalty': 'l2', 'SGD:power_t': 0.38863786514372106, 'SGD:tol': 3.5300302014691255e-05, 'SGD:eta0': 0.0010111966165527648}",263.891482591629,0.8392857142857143,0.8392857142857144,0.8353050947049725,0.8392857142857143,0.8391967160960266,"[0.78316498 0.95908112 0.7533856  0.82073579 0.69325153 0.9752883
 0.72846238 0.8877551  0.89568106 0.89516129]",0.8392857142857143,0.8392857142857144,"[0.83071429 0.95428571 0.755      0.87642857 0.80714286 0.84571429
 0.47714286 0.93214286 0.96285714 0.95142857]",0.910714285714286
