,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo
0,37,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'manhattan'}",8.394277572631836,0.8665714285714285,0.8665714285714285,0.8641651792408567,0.8665714285714285,0.8650962154301934,"[0.7934927  0.98455882 0.77179305 0.84391534 0.75252866 0.96932067
 0.73818526 0.92548747 0.92124915 0.95043103]",0.8665714285714285,0.8665714285714285,"[0.85357143 0.95642857 0.77785714 0.91142857 0.79714286 0.94785714
 0.55785714 0.94928571 0.96928571 0.945     ]",0.9258730158730163
1,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",11.603203535079956,0.8670714285714286,0.8670714285714286,0.865683591034799,0.8670714285714286,0.8659614878306264,"[0.80748299 0.99182764 0.77224199 0.84743504 0.75016835 0.96932067
 0.70179949 0.92425295 0.94335664 0.95172911]",0.8670714285714286,0.8670714285714286,"[0.84785714 0.95357143 0.775      0.90857143 0.79571429 0.94785714
 0.585      0.95       0.96357143 0.94357143]",0.9261507936507942
2,3,MAMV,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MAMV'}",5.9347758293151855,0.8657142857142858,0.8657142857142857,0.8641498507957,0.8657142857142858,0.8642142727238985,"[0.80945853 0.99330357 0.7795504  0.85349462 0.7471419  0.97283407
 0.69335605 0.92667598 0.92124915 0.94507846]",0.8657142857142858,0.8657142857142857,"[0.84357143 0.95357143 0.76785714 0.90714286 0.79357143 0.94642857
 0.58142857 0.94785714 0.96928571 0.94642857]",0.9253968253968259
3,158,KNN_COMB,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'KNN_COMB', 'KNN_COMB:n_neighbors': 49, 'KNN_COMB:p': 2, 'KNN_COMB:weights': 'uniform'}",14.35914659500122,0.8492857142857143,0.8492857142857142,0.8496591007781525,0.8492857142857143,0.8595779169490241,"[0.59090909 0.99256506 0.78753754 0.88735465 0.77949113 0.96301668
 0.75345168 0.94256259 0.94982332 0.94906743]",0.8492857142857143,0.8492857142857142,"[0.88214286 0.95357143 0.74928571 0.87214286 0.72214286 0.94857143
 0.54571429 0.91428571 0.96       0.945     ]",0.9162698412698419
4,5,COS,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'COS'}",14.481987953186035,0.8650714285714286,0.8650714285714287,0.8631659094009121,0.8650714285714286,0.8637223325740291,"[0.80284553 0.99038462 0.76792051 0.84259259 0.74300932 0.96856725
 0.71389892 0.92543554 0.93425606 0.94831299]",0.8650714285714286,0.8650714285714287,"[0.84642857 0.95642857 0.77285714 0.91       0.79714286 0.94642857
 0.565      0.94857143 0.96428571 0.94357143]",0.9250396825396829
5,6,AVG,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'AVG'}",1.4973423480987549,0.8644285714285714,0.8644285714285715,0.8626229297030186,0.8644285714285714,0.8648624284059524,"[0.73248792 0.99330357 0.7795504  0.8550236  0.75288527 0.97283407
 0.73818526 0.92732355 0.94530154 0.95172911]",0.8644285714285714,0.8644285714285715,"[0.86642857 0.95357143 0.76785714 0.90571429 0.79214286 0.94642857
 0.55785714 0.94785714 0.96285714 0.94357143]",0.9246825396825401
6,41,MIMV,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MIMV', 'MIMV:threshold': 0.4398993720041942}",1.5094821453094482,0.8644285714285714,0.8644285714285715,0.8626229297030186,0.8644285714285714,0.8648624284059524,"[0.73248792 0.99330357 0.7795504  0.8550236  0.75288527 0.97283407
 0.73818526 0.92732355 0.94530154 0.95172911]",0.8644285714285714,0.8644285714285715,"[0.86642857 0.95357143 0.76785714 0.90571429 0.79214286 0.94642857
 0.55785714 0.94785714 0.96285714 0.94357143]",0.9246825396825401
7,8,BKS,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'BKS'}",21.971325874328613,0.8688571428571429,0.8688571428571429,0.8675264443464041,0.8688571428571429,0.8684296939648195,"[0.79091516 0.98897869 0.76608997 0.87464789 0.74298761 0.96724891
 0.72597865 0.92643997 0.94662921 0.95438088]",0.8688571428571429,0.8688571428571429,"[0.84571429 0.96142857 0.79071429 0.88714286 0.81357143 0.94928571
 0.58285714 0.95357143 0.96285714 0.94142857]",0.9271428571428575
8,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",39.23238563537598,0.6703571428571429,0.6703571428571429,0.6180560447254494,0.6703571428571429,0.6870088973620772,"[0.75621891 0.97965116 0.79528158 0.84641407 0.65817175 0.48387097
 0.71995333 0.33469388 0.9625     0.33333333]",0.6703571428571429,0.6703571428571429,"[0.86857143 0.96285714 0.74642857 0.89357143 0.84857143 0.01071429
 0.44071429 0.99571429 0.935      0.00142857]",0.8168650793650797
9,11,DS,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DS', 'DS:similarity': 'symmetric_diff'}",118.0060293674469,0.8662857142857143,0.8662857142857143,0.8638659227444224,0.8662857142857143,0.8647888921954154,"[0.7983925  0.98455882 0.77240398 0.83803279 0.75050437 0.96932067
 0.7374882  0.9261324  0.92062415 0.95043103]",0.8662857142857143,0.8662857142857143,"[0.85142857 0.95642857 0.77571429 0.91285714 0.79714286 0.94785714
 0.55785714 0.94928571 0.96928571 0.945     ]",0.9257142857142863
