,size,true size,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo,doublefault_norm,doublefault,disagreement,yulesq,correlation,kappa-error
0,2,2,13,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 2, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'micro_precision', 'WV:weighting': 'rescaled'}",1.7884430885314941,0.8675714285714285,0.8675714285714287,0.8659923324743554,0.8675714285714285,0.8666179274749111,"[0.80255205 0.99038462 0.76852505 0.85292142 0.75083278 0.95797101
 0.72775801 0.92340126 0.94154489 0.95028818]",0.8675714285714285,0.8675714285714287,"[0.85357143 0.95642857 0.77785714 0.90714286 0.805      0.94428571
 0.58428571 0.93857143 0.96642857 0.94214286]",0.9264285714285719,0.893,0.107,0.075,0.972,0.7,0.309
1,3,3,12,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'micro_precision', 'WV:weighting': 'rescaled'}",1.8180713653564453,0.8682142857142857,0.8682142857142858,0.8665305546310996,0.8682142857142857,0.8671422230746803,"[0.80215343 0.99182764 0.76988037 0.84773936 0.75134409 0.97005113
 0.72232143 0.9261324  0.93954135 0.95043103]",0.8682142857142857,0.8682142857142858,"[0.85142857 0.95357143 0.78142857 0.91071429 0.79857143 0.94857143
 0.57785714 0.94928571 0.96571429 0.945     ]",0.9267857142857149,0.9,0.1,0.099,0.94,0.614,0.339
2,4,4,40,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'micro_precision', 'WV:weighting': 'bw'}",1.908750295639038,0.8675714285714285,0.8675714285714287,0.8659923324743554,0.8675714285714285,0.8666179274749111,"[0.80255205 0.99038462 0.76852505 0.85292142 0.75083278 0.95797101
 0.72775801 0.92340126 0.94154489 0.95028818]",0.8675714285714285,0.8675714285714287,"[0.85357143 0.95642857 0.77785714 0.90714286 0.805      0.94428571
 0.58428571 0.93857143 0.96642857 0.94214286]",0.9264285714285719,0.894,0.106,0.103,0.939,0.616,0.328
3,5,5,34,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'macro_f1', 'WV:weighting': 'bw_quadratic'}",2.029954433441162,0.8675714285714285,0.8675714285714285,0.8659013841869477,0.8675714285714285,0.8665616804138259,"[0.80351114 0.99256506 0.77140835 0.84743504 0.74734748 0.96312364
 0.72271914 0.92691497 0.93958333 0.95100865]",0.8675714285714285,0.8675714285714285,"[0.85       0.95357143 0.77857143 0.90857143 0.805      0.95142857
 0.57714286 0.94214286 0.96642857 0.94285714]",0.9264285714285718,0.893,0.107,0.11,0.93,0.6,0.328
4,6,6,44,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 6, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'micro_recall', 'WV:weighting': 'bw'}",2.1099352836608887,0.8670714285714286,0.8670714285714286,0.8652755652667021,0.8670714285714286,0.8659801118355583,"[0.79959786 0.99037037 0.77092199 0.84826203 0.74685222 0.96856725
 0.72267389 0.92587413 0.93897365 0.94770774]",0.8670714285714286,0.8670714285714286,"[0.85214286 0.955      0.77642857 0.90642857 0.805      0.94642857
 0.57142857 0.94571429 0.96714286 0.945     ]",0.926150793650794,0.888,0.112,0.102,0.94,0.628,0.295
5,7,7,40,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 7, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'micro_f1', 'WV:weighting': 'bw_quadratic'}",2.3848965167999268,0.8670714285714286,0.8670714285714285,0.8652214791568987,0.8670714285714286,0.866011621121378,"[0.79892761 0.99037037 0.77037562 0.84656438 0.74718729 0.96927579
 0.72611465 0.92522711 0.93836565 0.94770774]",0.8670714285714286,0.8670714285714285,"[0.85142857 0.955      0.77642857 0.90642857 0.80642857 0.94642857
 0.57       0.94571429 0.96785714 0.945     ]",0.926150793650794,0.886,0.114,0.104,0.938,0.626,0.289
6,8,8,54,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 8, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'macro_precision', 'WV:weighting': 'bw'}",2.285080909729004,0.8554285714285714,0.8554285714285713,0.8534020238780066,0.8554285714285714,0.854155502176692,"[0.79604366 0.99029851 0.76867295 0.81894873 0.73180328 0.9580574
 0.69936421 0.91901408 0.92455418 0.93479802]",0.8554285714285714,0.8554285714285713,"[0.83357143 0.94785714 0.75714286 0.90142857 0.79714286 0.93
 0.55       0.93214286 0.96285714 0.94214286]",0.9196825396825403,0.886,0.114,0.113,0.927,0.604,0.303
7,9,9,31,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 9, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'micro_f1', 'WV:weighting': 'bw_quadratic'}",2.5292787551879883,0.8545714285714285,0.8545714285714284,0.8524698244525395,0.8545714285714285,0.8531879582947749,"[0.79481936 0.99029851 0.76628075 0.81776913 0.73210768 0.9580574
 0.69553327 0.91895701 0.92392049 0.93413598]",0.8545714285714285,0.8545714285714284,"[0.83285714 0.94785714 0.75642857 0.90071429 0.79642857 0.93
 0.545      0.93142857 0.96285714 0.94214286]",0.9192063492063496,0.886,0.114,0.127,0.91,0.574,0.321
8,10,10,31,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 10, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'micro_f1', 'WV:weighting': 'bw_quadratic'}",2.5395216941833496,0.8532142857142857,0.8532142857142858,0.8510561689742773,0.8532142857142857,0.8516749924558367,"[0.79298487 0.98810409 0.76594203 0.81865285 0.72840314 0.95248538
 0.69279854 0.92204111 0.92318244 0.93215548]",0.8532142857142857,0.8532142857142858,"[0.82357143 0.94928571 0.755      0.90285714 0.795      0.93071429
 0.54285714 0.92928571 0.96142857 0.94214286]",0.9184523809523814,0.885,0.115,0.121,0.917,0.592,0.292
9,11,11,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 11, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",35.631669998168945,0.8543571428571428,0.8543571428571429,0.8527478930201994,0.8543571428571428,0.8528318443242991,"[0.80154278 0.98310066 0.77071006 0.83255504 0.72351421 0.95438088
 0.66212766 0.92226891 0.93010381 0.94801444]",0.8543571428571428,0.8543571428571429,"[0.81642857 0.95571429 0.74428571 0.89142857 0.8        0.94142857
 0.55571429 0.94071429 0.96       0.93785714]",0.919087301587302,0.883,0.117,0.138,0.898,0.562,0.308
