,size,true size,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo,doublefault_norm,doublefault,disagreement,yulesq,correlation,kappa-error
0,2,2,5,COS,"{'Div:algorithm': 'NODIV', 'ENS:size': 2, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'COS'}",3.5265519618988037,0.9050249465431219,0.9104146560478767,0.9098965803023797,0.9050249465431219,0.9125076569715289,"[0.98576512 0.85430464 0.85880399 0.89508929 0.85046729 0.94444444
 0.90604752 0.89017341 1.         0.83206107 0.97058824 0.94444444
 0.92119565 0.91143911 0.8        0.90112994 0.95918367 1.        ]",0.9050249465431219,0.9104146560478767,"[0.99105546 0.8989547  0.90542907 0.926097   0.96808511 0.85
 0.92096597 0.9005848  0.9375     0.79562044 0.83898305 0.87179487
 0.85390428 0.88319428 1.         0.88611111 0.95918367 1.        ]",0.9508498013462445,0.921,0.079,0.054,0.982,0.719,0.115
1,3,3,37,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'micro_precision', 'WV:weighting': 'bw_quadratic'}",1.805478811264038,0.9050249465431219,0.9104146560478767,0.9098965803023797,0.9050249465431219,0.9125076569715289,"[0.98576512 0.85430464 0.85880399 0.89508929 0.85046729 0.94444444
 0.90604752 0.89017341 1.         0.83206107 0.97058824 0.94444444
 0.92119565 0.91143911 0.8        0.90112994 0.95918367 1.        ]",0.9050249465431219,0.9104146560478767,"[0.99105546 0.8989547  0.90542907 0.926097   0.96808511 0.85
 0.92096597 0.9005848  0.9375     0.79562044 0.83898305 0.87179487
 0.85390428 0.88319428 1.         0.88611111 0.95918367 1.        ]",0.9508498013462445,0.928,0.072,0.065,0.968,0.657,0.254
2,4,4,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",11.225812911987305,0.9080541696364932,0.9191917003289826,0.9122874157319139,0.9080541696364932,0.9079031424493564,"[0.98747764 0.86531987 0.86554622 0.89578714 0.9        0.88372093
 0.92494481 0.88695652 1.         0.80434783 0.93636364 0.93243243
 0.8976378  0.91595615 0.76190476 0.90469417 0.97916667 1.        ]",0.9080541696364932,0.9191917003289826,"[0.98747764 0.89547038 0.90192644 0.9330254  0.95744681 0.95
 0.91986828 0.89473684 0.9375     0.81021898 0.87288136 0.88461538
 0.86146096 0.89630513 1.         0.88333333 0.95918367 1.        ]",0.9540962094317226,0.93,0.07,0.094,0.93,0.565,0.35
3,5,5,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",14.459467649459839,0.905559515324305,0.9159271745189623,0.9115457000097731,0.905559515324305,0.9101281703172562,"[0.98928571 0.85284281 0.8605042  0.91343964 0.89108911 0.92682927
 0.91299678 0.86760563 1.         0.80740741 0.97029703 0.93421053
 0.90026954 0.9161529  0.76190476 0.89830508 0.97916667 1.        ]",0.905559515324305,0.9159271745189623,"[0.99105546 0.88850174 0.8966725  0.926097   0.95744681 0.95
 0.93304061 0.9005848  0.9375     0.79562044 0.83050847 0.91025641
 0.84130982 0.88557807 1.         0.88333333 0.95918367 1.        ]",0.9525113953257185,0.929,0.071,0.091,0.929,0.576,0.315
4,6,6,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 6, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",16.337217569351196,0.9093014967925873,0.9186358903085485,0.9125292295922777,0.9093014967925873,0.9089392069178515,"[0.98926655 0.86440678 0.86677909 0.90401786 0.8989899  0.88372093
 0.92519252 0.87570621 1.         0.81203008 0.94545455 0.93243243
 0.89709763 0.9202454  0.76190476 0.90449438 0.97916667 1.        ]",0.9093014967925873,0.9186358903085485,"[0.98926655 0.88850174 0.90017513 0.93533487 0.94680851 0.95
 0.92316136 0.90643275 0.9375     0.78832117 0.88135593 0.88461538
 0.85642317 0.89392133 1.         0.89444444 0.95918367 1.        ]",0.9542548694058383,0.93,0.07,0.12,0.879,0.502,0.373
5,7,7,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 7, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",19.84490132331848,0.912152530292231,0.9191585376415854,0.9134361438984543,0.912152530292231,0.9103298844487837,"[0.99102334 0.87542088 0.8707483  0.91627907 0.89       0.86363636
 0.91346154 0.89244186 1.         0.83333333 0.93636364 0.93150685
 0.89119171 0.92420538 0.76190476 0.91525424 0.97916667 1.        ]",0.912152530292231,0.9191585376415854,"[0.98747764 0.90592334 0.8966725  0.90993072 0.94680851 0.95
 0.93852909 0.89766082 0.9375     0.80291971 0.87288136 0.87179487
 0.86649874 0.90107271 1.         0.9        0.95918367 1.        ]",0.9550947970230536,0.928,0.072,0.135,0.848,0.467,0.397
6,8,8,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 8, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",19.37791156768799,0.9112615823235923,0.9202507341225024,0.913052045731518,0.9112615823235923,0.908272871074262,"[0.98924731 0.89619377 0.87244898 0.91034483 0.89690722 0.86363636
 0.92056583 0.88985507 1.         0.80555556 0.92792793 0.92
 0.88311688 0.92307692 0.76190476 0.90896359 0.97916667 1.        ]",0.9112615823235923,0.9202507341225024,"[0.98747764 0.90243902 0.89842382 0.91454965 0.92553191 0.95
 0.92864984 0.89766082 0.9375     0.84671533 0.87288136 0.88461538
 0.85642317 0.90107271 1.         0.90138889 0.95918367 1.        ]",0.9552148984056437,0.926,0.074,0.151,0.823,0.437,0.411
7,9,9,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 9, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",22.68552327156067,0.9084105488239487,0.9169039016649828,0.910199454637202,0.9084105488239487,0.9059074186639781,"[0.98926655 0.8951049  0.86926995 0.90182648 0.89690722 0.86363636
 0.91838955 0.87679083 1.         0.80141844 0.91964286 0.91891892
 0.88743455 0.92176039 0.76190476 0.9048951  0.97916667 1.        ]",0.9084105488239487,0.9169039016649828,"[0.98926655 0.89198606 0.8966725  0.91224018 0.92553191 0.95
 0.92645445 0.89473684 0.9375     0.82481752 0.87288136 0.87179487
 0.85390428 0.89868892 1.         0.89861111 0.95918367 1.        ]",0.9535474930853529,0.923,0.077,0.16,0.814,0.427,0.411
8,10,10,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 10, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",25.667470932006836,0.9078759800427655,0.9160472680431112,0.9088182034563768,0.9078759800427655,0.903846126705038,"[0.98924731 0.89583333 0.86712095 0.90389016 0.89690722 0.86363636
 0.91956522 0.89181287 1.         0.80147059 0.88888889 0.90666667
 0.87948718 0.92279412 0.76190476 0.90083799 0.97916667 1.        ]",0.9078759800427655,0.9160472680431112,"[0.98747764 0.8989547  0.89141856 0.91224018 0.92553191 0.95
 0.92864984 0.89181287 0.9375     0.79562044 0.88135593 0.87179487
 0.86397985 0.89749702 1.         0.89583333 0.95918367 1.        ]",0.9531840516050306,0.919,0.081,0.165,0.804,0.423,0.408
9,11,11,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 11, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",22.83213996887207,0.9044903777619387,0.9147315605036602,0.9052695233836386,0.9044903777619387,0.8986921028365435,"[0.98915009 0.89236111 0.8622449  0.8959276  0.8877551  0.86363636
 0.91730141 0.89053254 1.         0.79856115 0.88135593 0.89473684
 0.87692308 0.91995074 0.72727273 0.89958159 0.97916667 1.        ]",0.9044903777619387,0.9147315605036602,"[0.97853309 0.89547038 0.88791594 0.91454965 0.92553191 0.95
 0.92535675 0.88011696 0.9375     0.81021898 0.88135593 0.87179487
 0.86146096 0.89034565 1.         0.89583333 0.95918367 1.        ]",0.9519601923646887,0.915,0.085,0.165,0.804,0.43,0.399
10,12,12,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 12, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",24.315879583358765,0.9028866714183892,0.9131890809223103,0.9027529357684391,0.9028866714183892,0.8957129623514939,"[0.98913043 0.8986014  0.86851211 0.9078341  0.88888889 0.86046512
 0.9214831  0.87683284 1.         0.79285714 0.87288136 0.8961039
 0.87531807 0.9097561  0.69565217 0.88934993 0.97916667 1.        ]",0.9028866714183892,0.9131890809223103,"[0.97674419 0.89547038 0.87915937 0.90993072 0.93617021 0.925
 0.92755214 0.87426901 0.9375     0.81021898 0.87288136 0.88461538
 0.86649874 0.88915375 1.         0.89305556 0.95918367 1.        ]",0.9511326057097708,0.912,0.088,0.163,0.803,0.438,0.389
11,13,13,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 13, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",31.028712034225464,0.9037776193870278,0.9138603608450752,0.902910850964672,0.9037776193870278,0.8960696389525604,"[0.98736462 0.89547038 0.86724138 0.89569161 0.88888889 0.86046512
 0.92030568 0.87755102 1.         0.81021898 0.87288136 0.92
 0.87531807 0.91881919 0.66666667 0.89320388 0.97916667 1.        ]",0.9037776193870278,0.9138603608450752,"[0.97853309 0.89547038 0.88091068 0.91224018 0.93617021 0.925
 0.92535675 0.88011696 0.9375     0.81021898 0.87288136 0.88461538
 0.86649874 0.89034565 1.         0.89444444 0.95918367 1.        ]",0.9515594653307514,0.912,0.088,0.18,0.767,0.408,0.396
12,14,14,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 14, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",34.600109577178955,0.9035994297933001,0.9132398027372809,0.9016117833031863,0.9035994297933001,0.8940304639220441,"[0.98913043 0.8975265  0.875      0.90344828 0.89690722 0.86046512
 0.91947769 0.875      1.         0.78169014 0.88135593 0.88461538
 0.87341772 0.91656442 0.66666667 0.89211618 0.97916667 1.        ]",0.9035994297933001,0.9132398027372809,"[0.97674419 0.88501742 0.882662   0.90762125 0.92553191 0.925
 0.92755214 0.88011696 0.9375     0.81021898 0.88135593 0.88461538
 0.86901763 0.89034565 1.         0.89583333 0.95918367 1.        ]",0.9513504349539067,0.91,0.09,0.186,0.758,0.398,0.395
