,model type,k,wanted k,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo
0,Fusion,18,18,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 18, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",2.250114917755127,0.955,0.8937780199638372,0.9045540446814332,0.955,0.9162651864264768,[0.96889401 0.86363636],0.955,0.8937780199638372,[0.9790454  0.80851064],0.8937780199638373
1,Model,18,18,696,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 0.000550555978910309, 'XT:criterion': 'entropy', 'XT:max_depth_fraction': 1.8182079679326597, 'XT:max_features': 0.8819659238981623, 'XT:min_samples_leaf': 2, 'XT:min_samples_split': 2, 'XT:n_estimators': 118}",21.953661918640137,0.952,0.8712836136361759,0.8945879707305932,0.952,0.9228086010586787,[0.96131968 0.88429752],0.952,0.8712836136361759,[0.98370198 0.75886525],0.8712836136361759
2,Model,18,18,26,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 0.0007164222951344236, 'XT:criterion': 'entropy', 'XT:max_depth_fraction': 0.929494768224532, 'XT:max_features': 0.8433626389822291, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 10, 'XT:n_estimators': 10}",3.5822150707244873,0.954,0.8724477579900758,0.8983200707338638,0.954,0.9302835776762464,[0.96140749 0.89915966],0.954,0.8724477579900758,[0.98603027 0.75886525],0.8724477579900758
3,Model,18,18,504,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': True, 'XT:ccp_alpha': 0.0003334438359118814, 'XT:criterion': 'entropy', 'XT:max_depth_fraction': 1.7068566338380389, 'XT:max_features': 0.9189972681233146, 'XT:min_samples_leaf': 3, 'XT:min_samples_split': 3, 'XT:n_estimators': 40}",6.38121485710144,0.952,0.8653555594085156,0.8931994766774357,0.952,0.9283328977553214,[0.9592299 0.8974359],0.952,0.8653555594085156,[0.98603027 0.74468085],0.8653555594085156
4,Model,18,18,706,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 0.0003166808854175737, 'XT:criterion': 'entropy', 'XT:max_depth_fraction': 1.8604637330488993, 'XT:max_features': 0.9550166115361961, 'XT:min_samples_leaf': 4, 'XT:min_samples_split': 2, 'XT:n_estimators': 3}",2.539445161819458,0.949,0.8636093428776658,0.8876352508047298,0.949,0.9170454545454545,[0.95909091 0.875     ],0.949,0.8636093428776658,[0.98253783 0.74468085],0.8636093428776659
5,Model,18,18,618,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 0.2676667664296873, 'GB:learning_rate': 0.421339329898125, 'GB:min_samples_leaf': 79}",7.813588619232178,0.946,0.8262948009808535,0.8721590909090909,0.946,0.9430598997746612,[0.94672586 0.93939394],0.946,0.8262948009808535,[0.99301513 0.65957447],0.8262948009808534
6,Model,18,18,50,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': True, 'XT:ccp_alpha': 1.0678096322528919e-05, 'XT:criterion': 'entropy', 'XT:max_depth_fraction': 0.5150772721124501, 'XT:max_features': 0.9672787955739773, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 3, 'XT:n_estimators': 3}",2.228416919708252,0.937,0.8329122598436249,0.8593596174581595,0.937,0.8932165704478077,[0.95022624 0.8362069 ],0.937,0.8329122598436249,[0.97788126 0.68794326],0.8329122598436249
7,Model,18,18,196,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': False, 'RF:ccp_alpha': 0.00013023611099923803, 'RF:criterion': 'entropy', 'RF:max_features': 0.31654436080447895, 'RF:min_samples_leaf': 3, 'RF:min_samples_split': 10, 'RF:n_estimators': 87}",33.494038343429565,0.949,0.8547172615361751,0.8853868194842407,0.949,0.9253593917072591,[0.95598194 0.89473684],0.949,0.8547172615361751,[0.98603027 0.72340426],0.8547172615361751
8,Model,18,18,296,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.0006326385013478017, 'RF:criterion': 'entropy', 'RF:max_features': 0.6441974964543813, 'RF:min_samples_leaf': 3, 'RF:min_samples_split': 9, 'RF:n_estimators': 13}",7.814220666885376,0.951,0.8588454330039053,0.8898814540142705,0.951,0.9303096907053185,[0.95711061 0.90350877],0.951,0.8588454330039053,[0.98719441 0.73049645],0.8588454330039053
9,Model,18,18,436,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.0007365140869246427, 'RF:criterion': 'entropy', 'RF:max_features': 0.5008516817939054, 'RF:min_samples_leaf': 2, 'RF:min_samples_split': 6, 'RF:n_estimators': 4}",3.442382574081421,0.946,0.8381509094361743,0.8757180733539549,0.946,0.9286349698067,[0.95072788 0.90654206],0.946,0.8381509094361743,[0.98835856 0.68794326],0.8381509094361743
10,Model,18,18,34,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 2.968029982259156e-10, 'GB:learning_rate': 0.47254612403768614, 'GB:min_samples_leaf': 43}",8.605177402496338,0.947,0.8387329816131243,0.8775956082228038,0.947,0.9329386686927525,[0.950783   0.91509434],0.947,0.8387329816131243,[0.9895227  0.68794326],0.8387329816131243
11,Model,18,18,440,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 0.31046650774153745, 'GB:learning_rate': 0.04919468259994913, 'GB:min_samples_leaf': 6}",8.697680473327637,0.947,0.8387329816131243,0.8775956082228038,0.947,0.9329386686927525,[0.950783   0.91509434],0.947,0.8387329816131243,[0.9895227  0.68794326],0.8387329816131243
12,Model,18,18,347,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 1.7486565602417676e-06, 'GB:learning_rate': 0.11237202120440935, 'GB:min_samples_leaf': 30}",7.505597352981567,0.946,0.8381509094361743,0.8757180733539549,0.946,0.9286349698067,[0.95072788 0.90654206],0.946,0.8381509094361743,[0.98835856 0.68794326],0.8381509094361743
13,Model,18,18,377,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 0.033122611042476366, 'GB:learning_rate': 0.14883447795601124, 'GB:min_samples_leaf': 1}",8.418821811676025,0.951,0.8588454330039053,0.8898814540142705,0.951,0.9303096907053185,[0.95711061 0.90350877],0.951,0.8588454330039053,[0.98719441 0.73049645],0.8588454330039053
14,Model,18,18,448,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 9.115789952740581e-10, 'GB:learning_rate': 0.15596048167139953, 'GB:min_samples_leaf': 7}",8.252430200576782,0.951,0.855881405890075,0.8891380141224594,0.951,0.9333976833976834,[0.95608108 0.91071429],0.951,0.855881405890075,[0.98835856 0.72340426],0.855881405890075
