,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo
0,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 16, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",1.2868707180023193,0.8662650602409638,0.8330143764002987,0.8250112537536254,0.8662650602409638,0.8180571963533424,[0.92118227 0.71493213],0.8662650602409638,0.8330143764002987,[0.89903846 0.76699029],0.8330143764002989
1,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 16, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",1.9589471817016602,0.863855421686747,0.8314118122977346,0.8224007241066542,0.863855421686747,0.8147213746943359,[0.92092257 0.70852018],0.863855421686747,0.8314118122977346,[0.89583333 0.76699029],0.8314118122977348
2,3,MAMV,"{'Div:algorithm': 'NODIV', 'ENS:size': 16, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MAMV'}",1.445624589920044,0.8759036144578313,0.8264174134926563,0.8312378718876525,0.8759036144578313,0.8364768526314945,[0.91153239 0.76142132],0.8759036144578313,0.8264174134926563,[0.92467949 0.72815534],0.8264174134926563
3,276,KNN_COMB,"{'Div:algorithm': 'NODIV', 'ENS:size': 16, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'KNN_COMB', 'KNN_COMB:n_neighbors': 9, 'KNN_COMB:p': 2, 'KNN_COMB:weights': 'uniform'}",1.2793018817901611,0.8698795180722891,0.8175332959920338,0.822746363571649,0.8698795180722891,0.8284700315457414,[0.90694006 0.75      ],0.8698795180722891,0.8175332959920338,[0.92147436 0.71359223],0.8175332959920338
4,5,COS,"{'Div:algorithm': 'NODIV', 'ENS:size': 16, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'COS'}",31.657341718673706,0.8746987951807229,0.8239902290266368,0.8293113130689952,0.8746987951807229,0.8351493594283139,[0.91009464 0.76020408],0.8746987951807229,0.8239902290266368,[0.92467949 0.72330097],0.8239902290266368
5,6,AVG,"{'Div:algorithm': 'NODIV', 'ENS:size': 16, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'AVG'}",1.2297070026397705,0.8759036144578313,0.8182879014189695,0.828309544896783,0.8759036144578313,0.8402666311823754,[0.90513219 0.77540107],0.8759036144578313,0.8182879014189695,[0.93269231 0.7038835 ],0.8182879014189693
6,98,MIMV,"{'Div:algorithm': 'NODIV', 'ENS:size': 16, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MIMV', 'MIMV:threshold': 0.5453535160811211}",1.1973166465759277,0.8759036144578313,0.8182879014189695,0.828309544896783,0.8759036144578313,0.8402666311823754,[0.90513219 0.77540107],0.8759036144578313,0.8182879014189695,[0.93269231 0.7038835 ],0.8182879014189693
7,8,BKS,"{'Div:algorithm': 'NODIV', 'ENS:size': 16, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'BKS'}",2.6502175331115723,0.8493975903614458,0.7307458924570576,0.7630732200804295,0.8493975903614458,0.8410839341773899,[0.85289958 0.82926829],0.8493975903614458,0.7307458924570576,[0.96634615 0.49514563],0.7307458924570576
8,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 16, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.754887342453003,0.8554216867469879,0.8371841548419219,0.8170798898071625,0.8554216867469879,0.803131818944777,[0.93003413 0.67622951],0.8554216867469879,0.8371841548419219,[0.87339744 0.80097087],0.8371841548419218
9,1546,NN,"{'Div:algorithm': 'NODIV', 'ENS:size': 16, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NN', 'NN:activation': 'logistic', 'NN:alpha': 0.00011054812019496528, 'NN:solver': 'adam', 'NN:tol': 0.07514509193008802, 'NN:beta_1': 0.9, 'NN:beta_2': 0.999, 'NN:epsilon': 1e-08, 'NN:learning_rate_init': 0.007828778001572468}",2.3986823558807373,0.863855421686747,0.8297859098829973,0.8218583033708078,0.863855421686747,0.814973734852031,[0.91954023 0.71040724],0.863855421686747,0.8297859098829973,[0.8974359  0.76213592],0.8297859098829973
