,model type,k,wanted k,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo
0,Fusion,2,2,8,BKS,"{'Div:algorithm': 'NODIV', 'ENS:size': 2, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'BKS'}",5.623307943344116,0.4023333333333333,0.4023333333333333,0.3983727111170248,0.4023333333333333,0.39763338627429456,"[0.44705882 0.44556597 0.30417495 0.26787182 0.348659   0.34918919
 0.40581717 0.44066456 0.51044277 0.45688961]",0.4023333333333333,0.4023333333333333,"[0.475      0.515      0.255      0.27166667 0.30333333 0.26916667
 0.48833333 0.46416667 0.50916667 0.4725    ]",0.6679629629629632
1,Model,2,2,14,PA,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'PA', 'PA:C': 0.016711829560357633, 'PA:average': True, 'PA:loss': 'hinge', 'PA:tol': 0.0011787086540784996}",333.76108503341675,0.39325,0.39325,0.3888416928222133,0.39325,0.3870708171893134,"[0.38945087 0.4496997  0.30090271 0.26765799 0.35200747 0.33829365
 0.41691843 0.44142615 0.46800595 0.44634526]",0.39325,0.39325,"[0.44916667 0.49916667 0.25       0.24       0.31416667 0.28416667
 0.46       0.43333333 0.52416667 0.47833333]",0.6629166666666669
2,Model,2,2,15,LDA,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'LDA', 'LDA:solver': 'lsqr', 'LDA:shrinkage': 'auto'}",790.0377216339111,0.3938333333333333,0.39383333333333337,0.39283352669463906,0.3938333333333333,0.3928305043363828,"[0.44539117 0.47386461 0.29087452 0.25943775 0.3368329  0.32327244
 0.39694042 0.46816479 0.48663102 0.44689542]",0.3938333333333333,0.39383333333333337,"[0.47916667 0.46083333 0.255      0.26916667 0.32083333 0.33916667
 0.41083333 0.41666667 0.53083333 0.45583333]",0.6632407407407409
