,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy
0,Fusion,12,12,18,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 12, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",2.3270111083984375,0.9678029713247696
1,Model,12,12,838,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'SVM:C': 0.011085421404003072, 'SVM:gamma': 0.0013106179323213027, 'SVM:kernel': 'poly', 'SVM:tol': 0.0008366356550890711, 'SVM:coef0': 1.3000185905268842, 'SVM:degree': 3}",104.35607933998108,0.9369956522386504
2,Model,12,12,1113,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'SVM:C': 0.968032857173774, 'SVM:gamma': 0.002393736834462624, 'SVM:kernel': 'poly', 'SVM:tol': 0.018678321287946418, 'SVM:coef0': 1.5947616354564222, 'SVM:degree': 2}",33.24616503715515,0.9298527950957933
3,Model,12,12,737,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'SVM:C': 0.06178225551071944, 'SVM:gamma': 0.055127422981307295, 'SVM:kernel': 'poly', 'SVM:tol': 2.3031806690358322e-05, 'SVM:coef0': 0.0, 'SVM:degree': 2}",580.577582359314,0.9407844529244225
4,Model,12,12,213,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 0.013486762923392221, 'GB:learning_rate': 0.04371787572474992, 'GB:min_samples_leaf': 173}",3.63485050201416,0.8993278146117962
5,Model,12,12,328,AB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'AB', 'AB:algorithm': 'SAMME.R', 'AB:learning_rate': 1.3936660452403056, 'AB:n_estimators': 94}",9.870586156845093,0.8929796310358691
6,Model,12,12,467,AB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'AB', 'AB:algorithm': 'SAMME.R', 'AB:learning_rate': 1.908234883610214, 'AB:n_estimators': 74}",8.52336311340332,0.878149329861931
7,Model,12,12,313,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'RF:bootstrap': False, 'RF:ccp_alpha': 0.0009277296423781054, 'RF:criterion': 'entropy', 'RF:max_features': 0.9773969467656698, 'RF:min_samples_leaf': 2, 'RF:min_samples_split': 10, 'RF:n_estimators': 116}",24.104042053222656,0.9022801232432937
8,Model,12,12,931,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.000970127831750683, 'DTREE:criterion': 'gini', 'DTREE:max_depth_fraction': 1.3167342160738267, 'DTREE:min_samples_leaf': 4, 'DTREE:min_samples_split': 2}",1.830366611480713,0.9161556292235927
9,Model,12,12,871,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 4.264648322018445e-10, 'GB:learning_rate': 0.06809354867216855, 'GB:min_samples_leaf': 161}",4.0020012855529785,0.9208578692566054
10,Model,12,12,870,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 1.0203492503799532e-05, 'GB:learning_rate': 0.06903165035763388, 'GB:min_samples_leaf': 136}",4.465979099273682,0.9156861284291263
11,Model,12,12,342,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 0.6049124432409314, 'GB:learning_rate': 0.10297432669490925, 'GB:min_samples_leaf': 84}",4.033154487609863,0.9180670808100789
12,Model,12,12,1219,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 0.7281634161770388, 'GB:learning_rate': 0.44826328408282606, 'GB:min_samples_leaf': 143}",3.1924920082092285,0.9094991831994335
