,size,true size,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo,doublefault_norm,doublefault,disagreement,yulesq,correlation,kappa-error
0,2,2,15,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 2, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'accuracy', 'WV:weighting': 'logarithmic'}",1.8188819885253906,0.9422700587084148,0.9364251497001582,0.9365551217849125,0.9422700587084148,0.937073342358803,"[0.93248945 0.864      0.94758065 0.97508897 0.97484277 1.
 0.91794872 0.89403974 0.96326531 0.90147783]",0.9422700587084148,0.9364251497001582,"[0.92468619 0.9        0.98739496 0.96819788 0.95679012 0.99009901
 0.895      0.84375    0.98333333 0.915     ]",0.9662011737209077,0.95,0.05,0.021,0.996,0.821,0.209
1,3,3,6,DS,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DS', 'DS:similarity': 'manhattan'}",19.86961817741394,0.9403131115459883,0.9332619697838401,0.933607386423003,0.9403131115459883,0.9342249193405439,"[0.91769547 0.84677419 0.95528455 0.97508897 0.97484277 1.
 0.90816327 0.88235294 0.96326531 0.91878173]",0.9403131115459883,0.9332619697838401,"[0.93305439 0.875      0.98739496 0.96819788 0.95679012 0.99009901
 0.89       0.84375    0.98333333 0.905     ]",0.9647631220975178,0.949,0.051,0.019,0.996,0.834,0.18
2,4,4,13,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'micro_recall', 'WV:weighting': 'rescaled'}",1.6431314945220947,0.9403131115459883,0.9328027301463546,0.9334370270564012,0.9403131115459883,0.934400361227343,"[0.91769547 0.84677419 0.96280992 0.97526502 0.98089172 1.
 0.90816327 0.88741722 0.95951417 0.90547264]",0.9403131115459883,0.9328027301463546,"[0.93305439 0.875      0.9789916  0.97526502 0.95061728 0.99009901
 0.89       0.8375     0.9875     0.91      ]",0.9646140439795242,0.95,0.05,0.02,0.996,0.826,0.181
3,5,5,61,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'macro_precision', 'WV:weighting': 'bw_quadratic'}",1.8178224563598633,0.9403131115459883,0.9328027301463546,0.9335976825444154,0.9403131115459883,0.9346284931350967,"[0.91769547 0.86065574 0.96280992 0.97526502 0.98089172 1.
 0.90816327 0.87581699 0.95951417 0.90547264]",0.9403131115459883,0.9328027301463546,"[0.93305439 0.875      0.9789916  0.97526502 0.95061728 0.99009901
 0.89       0.8375     0.9875     0.91      ]",0.964608608015184,0.95,0.05,0.019,0.996,0.831,0.176
4,6,6,12,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 6, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'accuracy', 'WV:weighting': 'rescaled'}",1.8528773784637451,0.9432485322896281,0.9357690671072975,0.937321737961633,0.9432485322896281,0.9392445531400069,"[0.90836653 0.89830508 0.96311475 0.97526502 0.97484277 1.
 0.90816327 0.88741722 0.96326531 0.91370558]",0.9432485322896281,0.9357690671072975,"[0.9539749  0.88333333 0.98739496 0.97526502 0.95679012 0.99009901
 0.89       0.8375     0.98333333 0.9       ]",0.9662092438152143,0.951,0.049,0.019,0.996,0.83,0.176
5,7,7,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 7, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",5.170814275741577,0.9412915851272016,0.9339287309728436,0.9344191586960735,0.9412915851272016,0.9352609230205449,"[0.91566265 0.85483871 0.96280992 0.97526502 0.97484277 1.
 0.90625    0.87581699 0.96326531 0.92385787]",0.9412915851272016,0.9339287309728436,"[0.9539749  0.88333333 0.9789916  0.97526502 0.95679012 0.99009901
 0.87       0.8375     0.98333333 0.91      ]",0.9652031164784349,0.951,0.049,0.019,0.996,0.833,0.171
6,8,8,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 8, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",6.9044084548950195,0.9412915851272016,0.9343436542643359,0.934498797622396,0.9412915851272016,0.9350342559212942,"[0.91902834 0.84920635 0.96280992 0.97526502 0.97484277 1.
 0.90625    0.87581699 0.96326531 0.92385787]",0.9412915851272016,0.9343436542643359,"[0.94979079 0.89166667 0.9789916  0.97526502 0.95679012 0.99009901
 0.87       0.8375     0.98333333 0.91      ]",0.9653386161345363,0.951,0.049,0.018,0.996,0.833,0.167
7,9,9,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 9, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",2.5816242694854736,0.9422700587084148,0.9349356099512043,0.9356095943170055,0.9422700587084148,0.9365745362260531,"[0.91902834 0.86065574 0.95528455 0.97508897 0.97484277 1.
 0.91709845 0.87662338 0.96326531 0.92385787]",0.9422700587084148,0.9349356099512043,"[0.94979079 0.875      0.98739496 0.96819788 0.95679012 0.99009901
 0.885      0.84375    0.98333333 0.91      ]",0.9657564062175575,0.95,0.05,0.018,0.996,0.839,0.162
8,10,10,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 10, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",7.0981292724609375,0.9412915851272016,0.9341701778524388,0.9342671581850528,0.9412915851272016,0.9347111148336218,"[0.91902834 0.84677419 0.95528455 0.97508897 0.97515528 1.
 0.91534392 0.86538462 0.97119342 0.92385787]",0.9412915851272016,0.9341701778524388,"[0.94979079 0.875      0.98739496 0.96819788 0.9691358  0.99009901
 0.865      0.84375    0.98333333 0.91      ]",0.9653013824469576,0.95,0.05,0.018,0.997,0.841,0.157
9,11,11,65,MIMV,"{'Div:algorithm': 'NODIV', 'ENS:size': 11, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MIMV', 'MIMV:threshold': 0.2998381122201445}",1.6600160598754883,0.9432485322896281,0.9365815850931594,0.9367876374356996,0.9432485322896281,0.9377478260662716,"[0.90836653 0.828125   0.95491803 0.97508897 0.97515528 1.
 0.90909091 0.91836735 0.97119342 0.93717277]",0.9432485322896281,0.9365815850931594,"[0.9539749  0.88333333 0.9789916  0.96819788 0.9691358  0.99009901
 0.9        0.84375    0.98333333 0.895     ]",0.966501840689998,0.95,0.05,0.018,0.996,0.839,0.158
