,size,true size,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo,doublefault_norm,doublefault,disagreement,yulesq,correlation,kappa-error
0,2,2,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 2, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",1.5006661415100098,0.9130434782608695,0.9117194080631575,0.898349405786083,0.9130434782608695,0.8880144289138623,[0.96016484 0.81586402],0.9130434782608695,0.9117194080631575,[0.91492147 0.90851735],0.9117194080631577,0.954,0.046,0.091,0.905,0.457,0.526
1,3,3,264,NN,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NN', 'NN:activation': 'tanh', 'NN:alpha': 5.550726774412787e-05, 'NN:solver': 'lbfgs', 'NN:tol': 0.07523771357349471}",1.3420617580413818,0.9121184088806661,0.9082964473879795,0.8968413016509209,0.9121184088806661,0.8876546549371972,[0.95634379 0.81896552],0.9121184088806661,0.9082964473879795,[0.91753927 0.89905363],0.9082964473879795,0.949,0.051,0.087,0.913,0.493,0.412
2,4,4,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",1.4204392433166504,0.9232192414431082,0.9115356665070111,0.9081381812746169,0.9232192414431082,0.9049445415024581,[0.95099338 0.85889571],0.9232192414431082,0.9115356665070111,[0.93979058 0.88328076],0.911535666507011,0.949,0.051,0.085,0.918,0.5,0.406
3,5,5,1065,NN,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NN', 'NN:activation': 'relu', 'NN:alpha': 0.001047204207626377, 'NN:solver': 'lbfgs', 'NN:tol': 0.02338085984428793}",1.5367794036865234,0.9185938945420906,0.9147232728293722,0.9042014098690836,0.9185938945420906,0.8955615942028985,[0.95923913 0.83188406],0.9185938945420906,0.9147232728293722,[0.92408377 0.90536278],0.9147232728293723,0.948,0.052,0.091,0.91,0.484,0.422
4,6,6,21,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 6, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.6782498359680176,0.9222941720629048,0.9201095842898905,0.9087096047742371,0.9222941720629048,0.8994750645862943,[0.96321526 0.83573487],0.9222941720629048,0.9201095842898905,[0.92539267 0.9148265 ],0.9201095842898905,0.949,0.051,0.094,0.901,0.474,0.418
5,7,7,353,NN,"{'Div:algorithm': 'NODIV', 'ENS:size': 7, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NN', 'NN:activation': 'relu', 'NN:alpha': 0.0007296735301130107, 'NN:solver': 'lbfgs', 'NN:tol': 0.062240615747773544}",1.9407167434692383,0.9259944495837188,0.9116533436834195,0.9108945984486924,0.9259944495837188,0.9101461259348851,[0.9488189  0.87147335],0.9259944495837188,0.9116533436834195,[0.94633508 0.87697161],0.9116533436834194,0.947,0.053,0.094,0.902,0.479,0.419
6,8,8,14,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 8, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.7904212474822998,0.9222941720629048,0.9182639106809586,0.9084009199854739,0.9222941720629048,0.9001773764093326,[0.96070461 0.83965015],0.9222941720629048,0.9182639106809586,[0.92801047 0.90851735],0.9182639106809587,0.946,0.054,0.094,0.904,0.483,0.417
7,9,9,12,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 9, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.6431739330291748,0.9176688251618872,0.9140688225675921,0.903194387007125,0.9176688251618872,0.8943317211277575,[0.95918367 0.82947977],0.9176688251618872,0.9140688225675921,[0.92277487 0.90536278],0.9140688225675923,0.945,0.055,0.094,0.907,0.49,0.418
8,10,10,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 10, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.674431562423706,0.9204440333024977,0.9160321733529324,0.9062199895089377,0.9204440333024977,0.898042143686743,[0.95934959 0.83673469],0.9204440333024977,0.9160321733529324,[0.92670157 0.90536278],0.9160321733529325,0.944,0.056,0.094,0.908,0.493,0.415
9,11,11,12,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 11, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.6450109481811523,0.9222941720629048,0.9191867474854245,0.9085558912386708,0.9222941720629048,0.8998188405797102,[0.96195652 0.83768116],0.9222941720629048,0.9191867474854245,[0.92670157 0.91167192],0.9191867474854246,0.942,0.058,0.093,0.912,0.502,0.408
10,12,12,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 12, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.736041784286499,0.9195189639222942,0.9153777230911524,0.905209940725346,0.9195189639222942,0.8967983812438862,[0.95929444 0.83430233],0.9195189639222942,0.9153777230911524,[0.92539267 0.90536278],0.9153777230911524,0.942,0.058,0.092,0.915,0.508,0.399
11,13,13,12,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 13, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.8046722412109375,0.9185938945420906,0.9156461096338382,0.9043624430968198,0.9185938945420906,0.8952308223857275,[0.96049046 0.82997118],0.9185938945420906,0.9156461096338382,[0.92277487 0.90851735],0.9156461096338383,0.941,0.059,0.091,0.918,0.517,0.386
12,14,14,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 14, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.8159916400909424,0.9176688251618872,0.9103774753497282,0.9025322034070014,0.9176688251618872,0.8957588379112347,[0.95423957 0.83727811],0.9176688251618872,0.9103774753497282,[0.92801047 0.89274448],0.9103774753497282,0.94,0.06,0.092,0.917,0.516,0.387
13,15,15,18,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 15, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",2.004190444946289,0.9093432007400555,0.9017189125803096,0.8929521276595744,0.9093432007400555,0.8855571847507331,[0.95       0.82111437],0.9093432007400555,0.9017189125803096,[0.92015707 0.88328076],0.9017189125803095,0.939,0.061,0.093,0.917,0.517,0.377
14,16,16,40,NN,"{'Div:algorithm': 'NODIV', 'ENS:size': 16, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NN', 'NN:activation': 'logistic', 'NN:alpha': 0.00851370255438977, 'NN:solver': 'adam', 'NN:tol': 0.016662912632253897, 'NN:beta_1': 0.9, 'NN:beta_2': 0.999, 'NN:epsilon': 1e-08, 'NN:learning_rate_init': 0.009201182790035966}",2.9843380451202393,0.9269195189639223,0.9095392835318017,0.9114354368181927,0.9269195189639223,0.9133969357473909,[0.94538362 0.88141026],0.9269195189639223,0.9095392835318017,[0.95157068 0.86750789],0.9095392835318017,0.939,0.061,0.093,0.917,0.516,0.376
15,17,17,443,NN,"{'Div:algorithm': 'NODIV', 'ENS:size': 17, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NN', 'NN:activation': 'logistic', 'NN:alpha': 0.00040083641837292496, 'NN:solver': 'adam', 'NN:tol': 0.02369354663251336, 'NN:beta_1': 0.9, 'NN:beta_2': 0.999, 'NN:epsilon': 1e-08, 'NN:learning_rate_init': 0.0021862033633165277}",3.6804192066192627,0.9176688251618872,0.897457760087205,0.9000368852246103,0.9176688251618872,0.9027425630726749,[0.93774319 0.86774194],0.9176688251618872,0.897457760087205,[0.94633508 0.84858044],0.897457760087205,0.939,0.061,0.093,0.917,0.515,0.377
