,model type,k,wanted k,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo
0,Fusion,9,9,15,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 9, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.6243350505828857,0.939,0.8874288922464684,0.8773423094633424,0.939,0.8680392156862745,[0.96941176 0.76666667],0.939,0.8874288922464684,[0.95925495 0.81560284],0.8874288922464683
1,Model,9,9,305,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 7.718102969222644e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 0.9684146581011023, 'XT:max_features': 0.8925136074574158, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 3, 'XT:n_estimators': 123}",18.65301275253296,0.948,0.8659912978145461,0.886538192989806,0.948,0.910939918977297,[0.96009122 0.86178862],0.948,0.8659912978145461,[0.98020955 0.75177305],0.8659912978145461
2,Model,9,9,325,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': True, 'XT:ccp_alpha': 2.3830072410197745e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.2440112130765681, 'XT:max_features': 0.9119131155997021, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 5, 'XT:n_estimators': 28}",4.188354015350342,0.951,0.8677375143453958,0.8920417115574855,0.951,0.921780303030303,[0.96022727 0.88333333],0.951,0.8677375143453958,[0.98370198 0.75177305],0.8677375143453958
3,Model,9,9,27,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 0.0007164222951344236, 'XT:criterion': 'entropy', 'XT:max_depth_fraction': 0.929494768224532, 'XT:max_features': 0.8433626389822291, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 10, 'XT:n_estimators': 10}",2.8019344806671143,0.946,0.8677911805744764,0.8836648167936301,0.946,0.9017867611909336,[0.96105384 0.84251969],0.946,0.8677911805744764,[0.97671711 0.75886525],0.8677911805744762
4,Model,9,9,122,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 9.68225667579006e-10, 'GB:learning_rate': 0.21978009905199802, 'GB:min_samples_leaf': 200}",4.231597423553467,0.947,0.8416970087269544,0.8784400881653398,0.947,0.9296005646902508,[0.95179372 0.90740741],0.947,0.8416970087269544,[0.98835856 0.69503546],0.8416970087269544
5,Model,9,9,722,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.00037498946332705185, 'RF:criterion': 'entropy', 'RF:max_features': 0.37014828738274963, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 3, 'RF:n_estimators': 166}",37.41425371170044,0.955,0.8641377488255352,0.8981879721532792,0.955,0.9434523809523809,[0.95833333 0.92857143],0.955,0.8641377488255352,[0.99068685 0.73758865],0.8641377488255352
6,Model,9,9,492,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 9.578393376861179e-05, 'GB:learning_rate': 0.276293788981713, 'GB:min_samples_leaf': 25}",6.326136112213135,0.953,0.8570455502439749,0.892938252706726,0.953,0.9417262512768131,[0.95617978 0.92727273],0.953,0.8570455502439749,[0.99068685 0.72340426],0.8570455502439748
7,Model,9,9,467,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 1.0787155774371564e-10, 'GB:learning_rate': 0.337274041520787, 'GB:min_samples_leaf': 14}",6.663580894470215,0.959,0.8753581188748256,0.9078599921343895,0.959,0.9501108866975565,[0.96162528 0.93859649],0.959,0.8753581188748256,[0.99185099 0.75886525],0.8753581188748254
8,Model,9,9,373,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 0.00017871092958871736, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.468045558448787, 'XT:max_features': 0.9531891772864098, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 2, 'XT:n_estimators': 4}",2.066189765930176,0.934,0.8252379890851147,0.8521717316513762,0.934,0.8870547776958978,[0.9480226  0.82608696],0.934,0.8252379890851147,[0.97671711 0.67375887],0.8252379890851147
9,Model,9,9,547,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 5.413455179289632e-07, 'GB:learning_rate': 0.1521463964267239, 'GB:min_samples_leaf': 7}",6.695083141326904,0.953,0.8570455502439749,0.892938252706726,0.953,0.9417262512768131,[0.95617978 0.92727273],0.953,0.8570455502439749,[0.99068685 0.72340426],0.8570455502439748
