,m1 rid,m1 algorithm,m1 configuration,m2 rid,m2 algorithm,m2 configuration,m2 runtime,doublefault_norm,doublefault,disagreement,yulesq,correlation,kappa-error
0,46,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.0002286688965981546, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 1.6800730235106573, 'DTREE:min_samples_leaf': 3, 'DTREE:min_samples_split': 5}",83,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'XT:bootstrap': True, 'XT:ccp_alpha': 0.00011417440808858004, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.9361834414599945, 'XT:max_features': 0.5935191018872034, 'XT:min_samples_leaf': 2, 'XT:min_samples_split': 10, 'XT:n_estimators': 18}",80.5802788734436,0.7698692303099063,0.23013076969009374,0.1940646085866125,0.8677535424769178,0.5594547910965727,0.1733866308917441
1,46,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.0002286688965981546, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 1.6800730235106573, 'DTREE:min_samples_leaf': 3, 'DTREE:min_samples_split': 5}",26,MLP,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLP', 'MLP:activation': 'logistic', 'MLP:alpha': 8.990064443564625e-05, 'MLP:n_hidden_layers': 3, 'MLP:n_neurons_layer': 67, 'MLP:solver': 'adam', 'MLP:tol': 0.04550732770465308, 'MLP:beta_1': 0.9, 'MLP:beta_2': 0.999, 'MLP:epsilon': 1e-08, 'MLP:learning_rate_init': 0.0009199961621815508}",57.3180136680603,0.7732131127963218,0.22678688720367826,0.24870125992715114,0.7743138511927687,0.45647656885193577,0.1024892471644584
2,46,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.0002286688965981546, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 1.6800730235106573, 'DTREE:min_samples_leaf': 3, 'DTREE:min_samples_split': 5}",44,QDA,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'QDA', 'QDA:reg_param': 0.13814781632922046}",4.248462677001953,0.7777512390278856,0.2222487609721144,0.3707529706813161,0.5172565744500284,0.2619139391187828,0.0
3,46,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.0002286688965981546, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 1.6800730235106573, 'DTREE:min_samples_leaf': 3, 'DTREE:min_samples_split': 5}",9,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 1.8440987466002508e-09, 'GB:learning_rate': 0.038522869393643765, 'GB:min_samples_leaf': 84}",172.24655103683472,0.7743476443542127,0.2256523556457873,0.1681495193168926,0.9088513756778979,0.611319668594305,0.24039674458164806
4,46,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.0002286688965981546, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 1.6800730235106573, 'DTREE:min_samples_leaf': 3, 'DTREE:min_samples_split': 5}",62,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 9.578393376861179e-05, 'GB:learning_rate': 0.276293788981713, 'GB:min_samples_leaf': 25}",54.676044940948486,0.7805577118289843,0.21944228817101571,0.1890487848569893,0.8760420974518134,0.564054857720625,0.23493884536308726
5,46,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.0002286688965981546, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 1.6800730235106573, 'DTREE:min_samples_leaf': 3, 'DTREE:min_samples_split': 5}",18,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 1.5481646655709492e-07, 'GB:learning_rate': 0.23505986156428454, 'GB:min_samples_leaf': 94}",139.74245595932007,0.7880814474234191,0.21191855257658088,0.1971696423239983,0.8628774988012544,0.5435624052694247,0.2590950570310469
6,46,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.0002286688965981546, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 1.6800730235106573, 'DTREE:min_samples_leaf': 3, 'DTREE:min_samples_split': 5}",31,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'XT:bootstrap': True, 'XT:ccp_alpha': 2.3830072410197745e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.2440112130765681, 'XT:max_features': 0.9119131155997021, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 5, 'XT:n_estimators': 28}",156.0303761959076,0.7763181465337076,0.22368185346629246,0.18922792141876157,0.8752156611407111,0.5656652794142167,0.21322315743372902
7,83,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'XT:bootstrap': True, 'XT:ccp_alpha': 0.00011417440808858004, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.9361834414599945, 'XT:max_features': 0.5935191018872034, 'XT:min_samples_leaf': 2, 'XT:min_samples_split': 10, 'XT:n_estimators': 18}",26,MLP,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLP', 'MLP:activation': 'logistic', 'MLP:alpha': 8.990064443564625e-05, 'MLP:n_hidden_layers': 3, 'MLP:n_neurons_layer': 67, 'MLP:solver': 'adam', 'MLP:tol': 0.04550732770465308, 'MLP:beta_1': 0.9, 'MLP:beta_2': 0.999, 'MLP:epsilon': 1e-08, 'MLP:learning_rate_init': 0.0009199961621815508}",57.3180136680603,0.7568519734877889,0.24314802651221115,0.20451424135666088,0.862926385029087,0.5519786381958304,0.0556279097092887
8,83,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'XT:bootstrap': True, 'XT:ccp_alpha': 0.00011417440808858004, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.9361834414599945, 'XT:max_features': 0.5935191018872034, 'XT:min_samples_leaf': 2, 'XT:min_samples_split': 10, 'XT:n_estimators': 18}",44,QDA,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'QDA', 'QDA:reg_param': 0.13814781632922046}",4.248462677001953,0.7837224577536275,0.2162775422463725,0.37123066817937544,0.5225103043125013,0.2623923451565574,0.0
9,83,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'XT:bootstrap': True, 'XT:ccp_alpha': 0.00011417440808858004, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.9361834414599945, 'XT:max_features': 0.5935191018872034, 'XT:min_samples_leaf': 2, 'XT:min_samples_split': 10, 'XT:n_estimators': 18}",9,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 1.8440987466002508e-09, 'GB:learning_rate': 0.038522869393643765, 'GB:min_samples_leaf': 84}",172.24655103683472,0.7642562847077088,0.23574371529229116,0.13650206007046037,0.9428371271802245,0.6801947905654477,0.19789589923165182
