,model type,k,wanted k,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo
0,Fusion,2,2,14,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 2, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'accuracy', 'WV:weighting': 'bw_quadratic'}",1.8658649921417236,0.9503571428571429,0.94986790457266,0.9498227138258782,0.9503571428571429,0.9498474215128221,"[0.96657183 0.98097654 0.93710247 0.95092461 0.9489645  0.94585987
 0.95953757 0.96848739 0.91970803 0.92034139]",0.9503571428571429,0.94986790457266,"[0.98406951 0.98222222 0.94849785 0.93627451 0.93992674 0.94061758
 0.96581818 0.94790953 0.92307692 0.930266  ]",0.9722841914676729
1,Model,2,2,32,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.0007365140869246427, 'RF:criterion': 'entropy', 'RF:max_features': 0.5008516817939054, 'RF:min_samples_leaf': 2, 'RF:min_samples_split': 6, 'RF:n_estimators': 4}",207.74586367607117,0.9503571428571429,0.94986790457266,0.9498227138258782,0.9503571428571429,0.9498474215128221,"[0.96657183 0.98097654 0.93710247 0.95092461 0.9489645  0.94585987
 0.95953757 0.96848739 0.91970803 0.92034139]",0.9503571428571429,0.94986790457266,"[0.98406951 0.98222222 0.94849785 0.93627451 0.93992674 0.94061758
 0.96581818 0.94790953 0.92307692 0.930266  ]",0.9722841914676729
2,Model,2,2,40,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'XT:bootstrap': True, 'XT:ccp_alpha': 0.00011417440808858004, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.9361834414599945, 'XT:max_features': 0.5935191018872034, 'XT:min_samples_leaf': 2, 'XT:min_samples_split': 10, 'XT:n_estimators': 18}",435.1637668609619,0.9142142857142858,0.9129940448164623,0.9130148778461606,0.9142142857142858,0.9131799349641385,"[0.94171997 0.96971609 0.90397112 0.90533808 0.90206186 0.89460784
 0.93078587 0.93998604 0.87339972 0.87021277]",0.9142142857142858,0.9129940448164623,"[0.95944967 0.97587302 0.89556509 0.8907563  0.8974359  0.86698337
 0.93890909 0.92323509 0.8996337  0.88209921]",0.9519929427494027
