,model type,k,wanted k,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo
0,Fusion,9,9,20,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 9, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",4.79188084602356,0.8935087913303107,0.8183476106546657,0.7755258815808226,0.8935087913303107,0.7471821364018953,[0.96112424 0.53324003],0.8935087913303107,0.8183476106546657,[0.91646838 0.72022684],0.8183476106546657
1,Model,9,9,88,QDA,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'QDA', 'Enc:ENC:encoder': 'one-hot', 'QDA:reg_param': 0.01951611747708204}",5.7544310092926025,0.8751520513104059,0.7226788650269349,0.7120357177297942,0.8751520513104059,0.7029001075967443,[0.93591048 0.46988974],0.8751520513104059,0.7226788650269349,[0.92172824 0.52362949],0.7226788650269349
2,Model,9,9,283,QDA,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'QDA', 'Enc:ENC:encoder': 'one-hot', 'QDA:reg_param': 0.9155192924098692}",5.884674072265625,0.7268605551255114,0.7424319346411572,0.609398706299268,0.7268605551255114,0.6124867787578289,[0.95828486 0.2666887 ],0.7268605551255114,0.7424319346411572,[0.72210394 0.76275992],0.7424319346411573
3,Model,9,9,97,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.00014971348621426806, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 1.0336628721482821, 'DTREE:min_samples_leaf': 7, 'DTREE:min_samples_split': 3, 'Enc:ENC:encoder': 'one-hot'}",8.752779483795166,0.8994802609753401,0.7225156336372665,0.7386384025214068,0.8994802609753401,0.7588089211821629,[0.93400393 0.58361392],0.8994802609753401,0.7225156336372665,[0.95353788 0.49149338],0.7225156336372666
4,Model,9,9,21,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 6.61538109862515e-05, 'DTREE:criterion': 'gini', 'DTREE:max_depth_fraction': 1.8676573207276534, 'DTREE:min_samples_leaf': 3, 'DTREE:min_samples_split': 9, 'Enc:ENC:encoder': 'one-hot'}",10.087963819503784,0.8978215194072764,0.7162467315252015,0.7329995528973097,0.8978215194072764,0.7543183349481586,[0.93250031 0.57613636],0.8978215194072764,0.7162467315252015,[0.95328741 0.47920605],0.7162467315252015
5,Model,9,9,269,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.00018694851338733908, 'DTREE:criterion': 'gini', 'DTREE:max_depth_fraction': 1.6833664127689771, 'DTREE:min_samples_leaf': 1, 'DTREE:min_samples_split': 4, 'Enc:ENC:encoder': 'one-hot'}",10.40670132637024,0.901249585314608,0.719417788315284,0.7389892268156879,0.901249585314608,0.764782008759074,[0.93307279 0.59649123],0.901249585314608,0.719417788315284,[0.95679399 0.48204159],0.719417788315284
6,Model,9,9,136,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': True, 'XT:ccp_alpha': 2.3830072410197745e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.2440112130765681, 'XT:max_features': 0.9119131155997021, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 5, 'XT:n_estimators': 28}",48.77759790420532,0.9037929890523057,0.7159383200779345,0.7400622866454418,0.9037929890523057,0.7741671025026,[0.93199757 0.61633663],0.9037929890523057,0.7159383200779345,[0.96117721 0.47069943],0.7159383200779346
7,Model,9,9,124,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 0.009007343219288203, 'GB:learning_rate': 0.14539215872448624, 'GB:min_samples_leaf': 25}",24.320425987243652,0.909322127612518,0.7354680858367473,0.7584310000182433,0.909322127612518,0.789314391509921,[0.93662401 0.64200477],0.909322127612518,0.7354680858367473,[0.96242956 0.50850662],0.7354680858367473
8,Model,9,9,317,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 0.0016250142876265317, 'GB:learning_rate': 0.39624638984753807, 'GB:min_samples_leaf': 73}",23.29147243499756,0.9067787238748203,0.727058354925883,0.7503756604080338,0.9067787238748203,0.7823138177314091,[0.93463973 0.62998791],0.9067787238748203,0.727058354925883,[0.96167815 0.49243856],0.727058354925883
9,Model,9,9,201,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 9.578393376861179e-05, 'GB:learning_rate': 0.276293788981713, 'GB:min_samples_leaf': 25}",22.558594703674316,0.9053411478491651,0.7233745219356236,0.7464072874020691,0.9053411478491651,0.778035909136583,[0.93379579 0.62227603],0.9053411478491651,0.7233745219356236,[0.96092674 0.48582231],0.7233745219356237
