,size,true size,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo,doublefault_norm,doublefault,disagreement,yulesq,correlation,kappa-error
0,2,2,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 2, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",5.1669394969940186,0.6495491729862065,0.5720919910699864,0.5270637450090835,0.6495491729862065,0.5470359527028001,[0.07486631 0.61933223 0.70076078 0.79318449],0.6495491729862065,0.5720919910699864,[0.41543027 0.5218826  0.56260604 0.78844906],0.7282946075922233,0.778,0.222,0.358,0.614,0.309,0.428
1,3,3,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",5.820965528488159,0.6508031289186123,0.5845697057532587,0.5347844431174298,0.6508031289186123,0.5477890533741611,[0.07352941 0.61892902 0.69132186 0.80737593],0.6508031289186123,0.5845697057532587,[0.41543027 0.51788816 0.64065151 0.76430889],0.7358226708136174,0.774,0.226,0.289,0.711,0.42,0.32
2,4,4,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",5.811023712158203,0.6502060070460381,0.5798136502708888,0.529715905558495,0.6502060070460381,0.5387149393714501,[0.07150776 0.63438872 0.65211726 0.79684601],0.6502060070460381,0.5798136502708888,[0.38278932 0.47672803 0.67933492 0.78040234],0.7338540620229722,0.769,0.231,0.266,0.746,0.453,0.233
3,5,5,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",6.105731725692749,0.6868095778348361,0.5873794454783984,0.5596624112305345,0.6868095778348361,0.559520661333079,[0.10650888 0.62712775 0.69775157 0.80669445],0.6868095778348361,0.5873794454783984,[0.32047478 0.60784995 0.64234815 0.77884491],0.7415606559049172,0.771,0.229,0.242,0.783,0.494,0.234
4,6,6,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 6, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",6.000723600387573,0.6590434107601362,0.5880836775744251,0.5394139928638099,0.6590434107601362,0.5509096556211185,[0.07573245 0.63306279 0.68997837 0.80486501],0.6590434107601362,0.5880836775744251,[0.40652819 0.51476207 0.64947404 0.78157041],0.7390783597674652,0.767,0.233,0.228,0.805,0.519,0.203
5,7,7,63,NN,"{'Div:algorithm': 'NODIV', 'ENS:size': 7, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NN', 'NN:activation': 'logistic', 'NN:alpha': 0.0009753876687648528, 'NN:solver': 'lbfgs', 'NN:tol': 1.335401450887254e-05}",281.99811458587646,0.680957783483609,0.5815300754966621,0.5518654663482032,0.680957783483609,0.5648451677488373,[0.08014184 0.6354485  0.7289604  0.81482993],0.680957783483609,0.5815300754966621,[0.33531157 0.61392845 0.59959281 0.77728748],0.739384120081978,0.765,0.235,0.208,0.832,0.557,0.198
6,8,8,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 8, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",6.122899055480957,0.6695527557174419,0.5867251159096452,0.54598403374877,0.6695527557174419,0.5526497108977717,[0.08378016 0.6305925  0.69421187 0.80201431],0.6695527557174419,0.5867251159096452,[0.37091988 0.54341785 0.64709874 0.78546398],0.7394956466719599,0.766,0.234,0.216,0.824,0.539,0.196
7,9,9,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 9, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",5.9905946254730225,0.6708067116498477,0.5786633728565787,0.5435779524659645,0.6708067116498477,0.5495144474830304,[0.08094556 0.632865   0.68795094 0.7962963 ],0.6708067116498477,0.5786633728565787,[0.33531157 0.53977075 0.64709874 0.79247242],0.7355634933129925,0.764,0.236,0.219,0.821,0.533,0.194
8,10,10,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 10, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",6.080390453338623,0.6869887143966084,0.5744600066213142,0.5548332573797874,0.6869887143966084,0.5537490510453895,[0.10368664 0.62835249 0.68790731 0.79504976],0.6869887143966084,0.5744600066213142,[0.26706231 0.59812435 0.64472345 0.78792992],0.7350266154424844,0.761,0.239,0.206,0.838,0.558,0.19
9,11,11,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 11, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",5.793661832809448,0.6678808144742342,0.5805636536499224,0.5424132162166717,0.6678808144742342,0.5497258405694607,[0.08213552 0.6335673  0.69095569 0.79224485],0.6678808144742342,0.5805636536499224,[0.35608309 0.53299757 0.64031218 0.79286178],0.7357871892522162,0.76,0.24,0.207,0.838,0.555,0.186
