,model type,k,wanted k,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo
0,Fusion,8,8,17,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 8, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'accuracy', 'WV:weighting': 'rescaled'}",1.2951757907867432,0.9775,0.9773080160637508,0.9773849206041161,0.9775,0.9779188887173528,"[1.         0.96753247 0.99324324 0.9132948  0.97402597 0.97402597
 0.98039216 0.97761194 0.93081761 0.97887324 0.95945946 0.99346405
 1.         0.96178344 0.99319728 1.         0.98726115 0.93630573
 0.99333333 0.99371069 0.99390244 0.9556962  1.         0.99363057
 0.98113208 0.99319728]",0.9775,0.9773080160637508,"[0.99367089 0.97385621 1.         0.98136646 0.97402597 0.96774194
 0.96774194 0.89115646 0.98013245 0.93288591 0.95945946 1.
 0.98734177 0.96178344 0.97333333 0.95031056 0.98726115 0.97350993
 0.99333333 0.99371069 1.         0.9869281  1.         0.99363057
 0.99363057 0.99319728]",0.9882480901804144
1,Model,8,8,467,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'SVM:C': 32.45744293788136, 'SVM:gamma': 0.02571144441117196, 'SVM:kernel': 'rbf', 'SVM:tol': 0.0005886712869956975}",44.88427209854126,0.9775,0.9773842165562989,0.9773976963496778,0.9775,0.9776471668394582,"[0.99367089 0.95512821 0.98       0.93413174 0.96129032 0.97402597
 0.96753247 0.97058824 0.95454545 0.97278912 0.97260274 0.98701299
 1.         0.96202532 0.99324324 0.98717949 1.         0.95454545
 0.99333333 0.99367089 0.99386503 0.95597484 1.         0.99363057
 0.97484277 0.99319728]",0.9775,0.9773842165562989,"[0.99367089 0.97385621 1.         0.9689441  0.96753247 0.96774194
 0.96129032 0.89795918 0.97350993 0.95973154 0.95945946 1.
 0.98734177 0.96815287 0.98       0.95652174 0.98726115 0.97350993
 0.99333333 0.98742138 0.99386503 0.99346405 0.99333333 0.99363057
 0.98726115 0.99319728]",0.9882687726868236
2,Model,8,8,476,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'SVM:C': 169.09708551675487, 'SVM:gamma': 0.018676654345299144, 'SVM:kernel': 'rbf', 'SVM:tol': 1.015606643188816e-05}",42.23518109321594,0.9745,0.9743745938945918,0.9743774515778676,0.9745,0.9746289083927095,"[0.99367089 0.94871795 0.96710526 0.93373494 0.96103896 0.97385621
 0.96103896 0.95683453 0.93630573 0.97222222 0.96598639 0.98701299
 1.         0.96178344 0.98657718 0.99354839 1.         0.93589744
 1.         0.9875     0.99386503 0.96202532 1.         0.99358974
 0.97484277 0.99319728]",0.9745,0.9743745938945918,"[0.99367089 0.96732026 1.         0.96273292 0.96103896 0.96129032
 0.95483871 0.9047619  0.97350993 0.93959732 0.95945946 1.
 0.98734177 0.96178344 0.98       0.95652174 0.98089172 0.96688742
 0.98       0.99371069 0.99386503 0.99346405 0.99333333 0.98726115
 0.98726115 0.99319728]",0.9867070437126361
3,Model,8,8,428,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 1.0966423933582735e-08, 'GB:learning_rate': 0.19883394821589598, 'GB:min_samples_leaf': 193}",104.31054592132568,0.97125,0.97105566295994,0.9711552687376783,0.97125,0.9715567961942072,"[1.         0.94230769 1.         0.94545455 0.94267516 0.96078431
 0.98026316 0.95774648 0.94267516 0.99285714 0.93288591 0.99337748
 0.99367089 0.97419355 0.97315436 0.96794872 0.96273292 0.91304348
 0.97333333 0.98734177 0.99390244 0.95512821 1.         1.
 0.975      1.        ]",0.97125,0.97105566295994,"[1.         0.96078431 0.99319728 0.9689441  0.96103896 0.9483871
 0.96129032 0.92517007 0.98013245 0.93288591 0.93918919 0.98684211
 0.99367089 0.96178344 0.96666667 0.9378882  0.98726115 0.97350993
 0.97333333 0.98113208 1.         0.97385621 0.98       0.98726115
 0.99363057 0.97959184]",0.9849981366887717
4,Model,8,8,136,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 1.5481646655709492e-07, 'GB:learning_rate': 0.23505986156428454, 'GB:min_samples_leaf': 94}",93.54470705986023,0.97275,0.9725742325210667,0.9726747636933547,0.97275,0.9731391323174756,"[1.         0.93670886 0.99315068 0.93452381 0.95541401 0.94904459
 0.98684211 0.97841727 0.93548387 0.98571429 0.94594595 0.99333333
 0.99367089 0.98039216 0.97986577 0.97402597 0.96855346 0.925
 0.97368421 0.98742138 0.98787879 0.94936709 1.         0.99363057
 0.99354839 1.        ]",0.97275,0.9725742325210667,"[1.         0.96732026 0.98639456 0.97515528 0.97402597 0.96129032
 0.96774194 0.92517007 0.9602649  0.9261745  0.94594595 0.98026316
 0.99367089 0.95541401 0.97333333 0.93167702 0.98089172 0.98013245
 0.98666667 0.98742138 1.         0.98039216 0.98666667 0.99363057
 0.98089172 0.98639456]",0.9857826745269241
5,Model,8,8,303,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 4.985561934276515e-09, 'GB:learning_rate': 0.17407638540123907, 'GB:min_samples_leaf': 121}",104.50043177604675,0.97225,0.9720328535825712,0.9722169718284632,0.97225,0.9728345067488614,"[1.         0.95454545 1.         0.91812865 0.96732026 0.96129032
 0.98013245 0.95070423 0.93589744 0.99285714 0.95890411 0.99342105
 0.98742138 0.97419355 0.98639456 0.97435897 0.95121951 0.9030303
 0.98639456 0.99363057 0.98787879 0.96129032 1.         1.
 0.97468354 1.        ]",0.97225,0.9720328535825712,"[1.         0.96078431 0.98639456 0.97515528 0.96103896 0.96129032
 0.95483871 0.91836735 0.96688742 0.93288591 0.94594595 0.99342105
 0.99367089 0.96178344 0.96666667 0.94409938 0.99363057 0.98675497
 0.96666667 0.98113208 1.         0.97385621 0.98666667 0.99363057
 0.98089172 0.98639456]",0.9855108651269046
6,Model,8,8,116,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 1.4188852133971272e-10, 'GB:learning_rate': 0.2424602184719342, 'GB:min_samples_leaf': 141}",93.68891596794128,0.971,0.9708286581446727,0.9709315331228354,0.971,0.9714567494884362,"[1.         0.94303797 1.         0.93413174 0.93710692 0.95512821
 0.98666667 0.97122302 0.93464052 0.97163121 0.96575342 0.99346405
 0.99363057 0.96753247 0.97315436 0.97419355 0.93902439 0.92592593
 0.98639456 0.99358974 0.99390244 0.9556962  1.         1.
 0.9689441  0.99310345]",0.971,0.9708286581446727,"[0.99367089 0.97385621 0.98639456 0.9689441  0.96753247 0.96129032
 0.95483871 0.91836735 0.94701987 0.91946309 0.9527027  1.
 0.98734177 0.94904459 0.96666667 0.9378882  0.98089172 0.99337748
 0.96666667 0.97484277 1.         0.9869281  0.99333333 0.98726115
 0.99363057 0.97959184]",0.9848734940017607
7,Model,8,8,468,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'SVM:C': 7.374272008024971, 'SVM:gamma': 0.020626740476653697, 'SVM:kernel': 'rbf', 'SVM:tol': 1.497548987164033e-05}",44.35646915435791,0.97475,0.9745269092044425,0.9745581321045649,0.97475,0.9749914162728951,"[1.         0.94339623 0.98657718 0.9127907  0.96753247 0.96774194
 0.97419355 0.96268657 0.93037975 0.96527778 0.95945946 0.98701299
 1.         0.96226415 0.98       0.99346405 1.         0.94701987
 0.99328859 0.99371069 0.99390244 0.96794872 1.         0.99363057
 0.98101266 0.98648649]",0.97475,0.9745269092044425,"[0.98734177 0.98039216 1.         0.97515528 0.96753247 0.96774194
 0.97419355 0.87755102 0.97350993 0.93288591 0.95945946 1.
 0.98734177 0.97452229 0.98       0.94409938 0.98089172 0.94701987
 0.98666667 0.99371069 1.         0.9869281  0.98666667 0.99363057
 0.98726115 0.99319728]",0.9868103434665723
8,Model,8,8,397,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'SVM:C': 45.22332044496731, 'SVM:gamma': 0.07264652945876329, 'SVM:kernel': 'rbf', 'SVM:tol': 0.015691540829139657}",81.19815850257874,0.97525,0.975085686055339,0.9751091955666478,0.97525,0.9756201376535868,"[1.         0.97402597 0.98       0.92941176 0.96732026 0.97385621
 0.96753247 0.98461538 0.94230769 0.96598639 0.97297297 0.99342105
 0.99363057 0.96815287 0.97972973 0.98089172 0.98701299 0.91925466
 1.         0.99367089 0.98773006 0.96178344 0.99333333 0.98734177
 0.9689441  0.99319728]",0.97525,0.975085686055339,"[0.99367089 0.98039216 1.         0.98136646 0.96103896 0.96129032
 0.96129032 0.8707483  0.97350993 0.95302013 0.97297297 0.99342105
 0.98734177 0.96815287 0.96666667 0.95652174 0.96815287 0.98013245
 0.98666667 0.98742138 0.98773006 0.9869281  0.99333333 0.99363057
 0.99363057 0.99319728]",0.9870854190807011
