,size,true size,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo,doublefault_norm,doublefault,disagreement,yulesq,correlation,kappa-error
0,2,2,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 2, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",1.5912261009216309,0.7771084337349398,0.8078634553149115,0.7468389909171997,0.7771084337349398,0.7381952678748773,[0.94523327 0.53115727],0.7771084337349398,0.8078634553149115,[0.74679487 0.86893204],0.8078634553149115,0.92,0.08,0.199,0.757,0.348,0.683
1,3,3,15,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.5311622619628906,0.8337349397590361,0.809753858600946,0.7902259274453496,0.8337349397590361,0.7771536362623901,[0.91609589 0.63821138],0.8337349397590361,0.809753858600946,[0.85737179 0.76213592],0.809753858600946,0.899,0.101,0.169,0.838,0.454,0.524
2,4,4,22,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.567145586013794,0.8168674698795181,0.8099172267861587,0.7772598870056497,0.8168674698795181,0.7615002888200388,[0.92446043 0.59854015],0.8168674698795181,0.8099172267861587,[0.82371795 0.7961165 ],0.8099172267861589,0.886,0.114,0.145,0.883,0.528,0.429
3,5,5,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.7132508754730225,0.8120481927710843,0.8067120985810305,0.7725164445943666,0.8120481927710843,0.7569205505161088,[0.92391304 0.58992806],0.8120481927710843,0.8067120985810305,[0.81730769 0.7961165 ],0.8067120985810305,0.894,0.106,0.145,0.87,0.518,0.448
4,6,6,14,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 6, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.6005871295928955,0.8289156626506025,0.8065487303958178,0.785328145946261,0.8289156626506025,0.7717586206896552,[0.91551724 0.628     ],0.8289156626506025,0.8065487303958178,[0.85096154 0.76213592],0.8065487303958176,0.896,0.104,0.14,0.872,0.525,0.433
5,7,7,12,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 7, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.6543736457824707,0.8337349397590361,0.8146315658451581,0.7919406520428107,0.8337349397590361,0.7776679299170648,[0.92041522 0.63492063],0.8337349397590361,0.8146315658451581,[0.8525641  0.77669903],0.8146315658451581,0.897,0.103,0.137,0.875,0.53,0.41
6,8,8,14,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 8, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.7465267181396484,0.8518072289156626,0.8168953821259646,0.8072679012042687,0.8518072289156626,0.7992470156106519,[0.91404959 0.68444444],0.8518072289156626,0.8168953821259646,[0.88621795 0.74757282],0.8168953821259647,0.898,0.102,0.137,0.874,0.528,0.388
7,9,9,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 9, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.530548095703125,0.8506024096385543,0.8193459049041574,0.8071445703663729,0.8506024096385543,0.797463768115942,[0.91666667 0.67826087],0.8506024096385543,0.8193459049041574,[0.88141026 0.75728155],0.8193459049041574,0.897,0.103,0.13,0.887,0.547,0.374
8,10,10,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 10, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.761763334274292,0.8409638554216867,0.812935648493901,0.7970750355618776,0.8409638554216867,0.7855013627072451,[0.91554054 0.65546218],0.8409638554216867,0.812935648493901,[0.86858974 0.75728155],0.812935648493901,0.896,0.104,0.131,0.889,0.547,0.376
9,11,11,12,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 11, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.9258060455322266,0.8457831325301205,0.8193925815285039,0.8032242769084874,0.8457831325301205,0.7913922325687032,[0.91891892 0.66386555],0.8457831325301205,0.8193925815285039,[0.87179487 0.76699029],0.8193925815285039,0.896,0.104,0.127,0.896,0.557,0.368
10,12,12,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 12, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.9056172370910645,0.8506024096385543,0.8225977097336321,0.8082712369597617,0.8506024096385543,0.7973383812309986,[0.91946309 0.67521368],0.8506024096385543,0.8225977097336321,[0.87820513 0.76699029],0.8225977097336321,0.895,0.105,0.125,0.9,0.563,0.355
11,13,13,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 13, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.9241912364959717,0.8506024096385543,0.8209718073188947,0.8077109910394666,0.8506024096385543,0.7973921692999655,[0.9180602  0.67672414],0.8506024096385543,0.8209718073188947,[0.87980769 0.76213592],0.8209718073188946,0.896,0.104,0.122,0.905,0.57,0.349
12,14,14,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 14, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",2.0012359619140625,0.8518072289156626,0.823398991784914,0.8095403334583289,0.8518072289156626,0.7988547889662907,[0.91959799 0.67811159],0.8518072289156626,0.823398991784914,[0.87980769 0.76699029],0.8233989917849142,0.897,0.103,0.121,0.906,0.569,0.347
13,15,15,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 15, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",2.0114150047302246,0.8554216867469879,0.8241769355240229,0.8128115109644342,0.8554216867469879,0.8036005711954304,[0.91860465 0.68859649],0.8554216867469879,0.8241769355240229,[0.88621795 0.76213592],0.8241769355240227,0.896,0.104,0.119,0.908,0.576,0.331
