,size,true size,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo,doublefault_norm,doublefault,disagreement,yulesq,correlation,kappa-error
0,2,2,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 2, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",3.522429943084717,0.9048415885765283,0.8609115209954562,0.8721375724845485,0.9048415885765283,0.88555245420538,[0.89694763 0.83769634 0.92201339],0.9048415885765283,0.8609115209954562,[0.91934558 0.73817762 0.92521136],0.9014737112100142,0.925,0.075,0.047,0.984,0.736,0.174
1,3,3,16,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",4.613635540008545,0.8972556894243642,0.878125580060508,0.8603486153236668,0.8972556894243642,0.846584596961104,[0.91358025 0.69506292 0.93111062],0.8972556894243642,0.878125580060508,[0.89207807 0.82814302 0.91415565],0.9112189827555027,0.937,0.063,0.091,0.914,0.54,0.338
2,4,4,9,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",5.828614711761475,0.9002677376171352,0.877297971374663,0.8646476056995378,0.9002677376171352,0.8539962591779472,[0.89907744 0.72268041 0.94023093],0.9002677376171352,0.877297971374663,[0.92307692 0.80853518 0.90028181],0.9112955845572208,0.933,0.067,0.078,0.932,0.601,0.275
3,5,5,15,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",7.036339044570923,0.9032797858099063,0.8675333609990089,0.8702105888172035,0.9032797858099063,0.8730063249979766,[0.90336374 0.79216152 0.92349371],0.9032797858099063,0.8675333609990089,[0.90958668 0.76931949 0.92369391],0.9052893087412548,0.928,0.072,0.07,0.945,0.643,0.254
4,6,6,14,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 6, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",7.695125102996826,0.8945783132530121,0.8694837575727101,0.856031806898212,0.8945783132530121,0.8448887337103222,[0.90549133 0.70030272 0.92887215],0.8945783132530121,0.8694837575727101,[0.89925373 0.80046136 0.90873618],0.9055908887272259,0.928,0.072,0.084,0.935,0.6,0.231
5,7,7,12,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 7, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",8.503700971603394,0.8941320838911201,0.8791307283951256,0.8569097889417766,0.8941320838911201,0.8406422278290268,[0.91079812 0.67783985 0.93328871],0.8941320838911201,0.8791307283951256,[0.89092997 0.83967705 0.90678517],0.9113866102502901,0.927,0.073,0.087,0.93,0.586,0.239
6,8,8,12,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 8, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",10.160928010940552,0.892458723784025,0.8789132111812871,0.8549970904664908,0.892458723784025,0.8378678600021864,[0.90885111 0.6706422  0.93411026],0.892458723784025,0.8789132111812871,[0.89006889 0.84313725 0.90353349],0.9110120193210504,0.925,0.075,0.087,0.935,0.595,0.223
7,9,9,12,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 9, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",11.546174049377441,0.8945783132530121,0.8792402530452792,0.8582261213921333,0.8945783132530121,0.8424439387499788,[0.90784884 0.68555241 0.93393057],0.8945783132530121,0.8792402530452792,[0.89638347 0.83737024 0.90396705],0.9114541344917271,0.925,0.075,0.085,0.938,0.602,0.227
8,10,10,16,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 10, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",11.305534601211548,0.891566265060241,0.8692498869954121,0.8536666351211096,0.891566265060241,0.8411631978452978,[0.90441604 0.69268775 0.92638581],0.891566265060241,0.8692498869954121,[0.8935132  0.80853518 0.90570128],0.9048555883544772,0.923,0.077,0.081,0.942,0.618,0.223
9,11,11,17,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 11, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",11.278217315673828,0.891008478357876,0.8732673016940282,0.853878308851379,0.891008478357876,0.839093168376409,[0.90405366 0.68385864 0.9293672 ],0.891008478357876,0.8732673016940282,[0.88978186 0.82583622 0.90418383],0.9072389049447054,0.923,0.077,0.089,0.934,0.596,0.223
