,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy
0,Fusion,15,15,24,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 15, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",14.674878358840942,0.87157813095
1,Model,15,15,383,KNN_CLASS,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 22, 'KNN_CLASS:p': 1, 'KNN_CLASS:weights': 'uniform'}",9.127617835998535,0.8465502999042842
2,Model,15,15,388,KNN_CLASS,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 20, 'KNN_CLASS:p': 1, 'KNN_CLASS:weights': 'uniform'}",8.68963360786438,0.8430211736884573
3,Model,15,15,386,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 1.2649679276252132e-06, 'GB:learning_rate': 0.37224403672610673, 'GB:min_samples_leaf': 41}",26.41310477256775,0.8170740767398275
4,Model,15,15,210,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 6.497266122643172e-05, 'GB:learning_rate': 0.38769905437130964, 'GB:min_samples_leaf': 155}",28.864999055862427,0.8171066451804716
5,Model,15,15,211,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 0.2662654021476058, 'GB:learning_rate': 0.1949445812337541, 'GB:min_samples_leaf': 200}",30.924052715301514,0.8219602744175528
6,Model,15,15,218,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 7.281716173461871e-09, 'GB:learning_rate': 0.1839034518668127, 'GB:min_samples_leaf': 3}",26.511711835861206,0.8179552971795376
7,Model,15,15,384,KNN_CLASS,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 19, 'KNN_CLASS:p': 2, 'KNN_CLASS:weights': 'uniform'}",6.996010065078735,0.825705126611932
8,Model,15,15,75,KNN_CLASS,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 21, 'KNN_CLASS:p': 2, 'KNN_CLASS:weights': 'uniform'}",6.6147987842559814,0.8230490883954378
9,Model,15,15,141,KNN_CLASS,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 31, 'KNN_CLASS:p': 1, 'KNN_CLASS:weights': 'uniform'}",9.436168432235718,0.8151145725560618
