,m1 rid,m1 algorithm,m1 configuration,m2 rid,m2 algorithm,m2 configuration,m2 runtime,doublefault_norm,doublefault,disagreement,yulesq,correlation,kappa-error
0,123,KNN_CLASS,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 2, 'KNN_CLASS:p': 1, 'KNN_CLASS:weights': 'distance'}",110,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 6.404571261269957e-07, 'GB:learning_rate': 0.36101818936430513, 'GB:min_samples_leaf': 33}",32.92706298828125,0.830886075949367,0.1691139240506329,0.2769620253164557,0.6634314225362372,0.35133791982943396,0.19970694770125055
1,123,KNN_CLASS,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 2, 'KNN_CLASS:p': 1, 'KNN_CLASS:weights': 'distance'}",181,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 1.9721862363487452e-10, 'GB:learning_rate': 0.4908861207891, 'GB:min_samples_leaf': 107}",43.66837549209595,0.8425316455696202,0.15746835443037974,0.29215189873417724,0.6066317037642547,0.309821423652128,0.2351744221318935
2,110,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 6.404571261269957e-07, 'GB:learning_rate': 0.36101818936430513, 'GB:min_samples_leaf': 33}",181,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 1.9721862363487452e-10, 'GB:learning_rate': 0.4908861207891, 'GB:min_samples_leaf': 107}",43.66837549209595,0.7574683544303797,0.24253164556962026,0.1518987341772152,0.9246254115433715,0.6502245951777066,0.1428706427111757
