,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo
0,31,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'symmetric_diff'}",1.5339155197143555,0.8397590361445784,0.7763645133183968,0.781344890355525,0.8397590361445784,0.7868968302039168,[0.88661417 0.68717949],0.8397590361445784,0.7763645133183968,[0.90224359 0.65048544],0.776364513318397
1,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",1.5597329139709473,0.8228915662650602,0.7765278815036096,0.7689637738378599,0.8228915662650602,0.7626014878731688,[0.89291598 0.632287  ],0.8228915662650602,0.7765278815036096,[0.86858974 0.68446602],0.7765278815036096
2,3,MAMV,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MAMV'}",1.6169798374176025,0.8228915662650602,0.7765278815036096,0.7689637738378599,0.8228915662650602,0.7626014878731688,[0.89291598 0.632287  ],0.8228915662650602,0.7765278815036096,[0.86858974 0.68446602],0.7765278815036096
3,457,KNN_COMB,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'KNN_COMB', 'KNN_COMB:n_neighbors': 37, 'KNN_COMB:p': 1, 'KNN_COMB:weights': 'uniform'}",1.634497880935669,0.8421686746987952,0.7649598581030619,0.7776896323996966,0.8421686746987952,0.79467646066395,[0.87748851 0.71186441],0.8421686746987952,0.7649598581030619,[0.91826923 0.61165049],0.7649598581030619
4,5,COS,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'COS'}",3.1613824367523193,0.8253012048192772,0.7765045431914364,0.7707073112645868,0.8253012048192772,0.7656248832290802,[0.89198036 0.63926941],0.8253012048192772,0.7765045431914364,[0.87339744 0.67961165],0.7765045431914365
5,6,AVG,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'AVG'}",1.3808343410491943,0.8481927710843373,0.7543331466268359,0.7765384615384614,0.8481927710843373,0.814041727503266,[0.8683432  0.75974026],0.8481927710843373,0.7543331466268359,[0.94070513 0.56796117],0.7543331466268359
6,25,MIMV,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MIMV', 'MIMV:threshold': 0.7039637897670237}",1.3979980945587158,0.8481927710843373,0.7543331466268359,0.7765384615384614,0.8481927710843373,0.814041727503266,[0.8683432  0.75974026],0.8481927710843373,0.7543331466268359,[0.94070513 0.56796117],0.7543331466268359
7,8,BC,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'BC'}",1.421464204788208,0.8481927710843373,0.7543331466268359,0.7765384615384614,0.8481927710843373,0.814041727503266,[0.8683432  0.75974026],0.8481927710843373,0.7543331466268359,[0.94070513 0.56796117],0.7543331466268359
8,181,NN,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NN', 'NN:activation': 'relu', 'NN:alpha': 0.0003029797557381425, 'NN:solver': 'lbfgs', 'NN:tol': 0.06557794913070904}",1.6186997890472412,0.8,0.8052028877271595,0.7629860523364229,0.8,0.7482032594392145,[0.92883895 0.56756757],0.8,0.8052028877271595,[0.79487179 0.81553398],0.8052028877271596
9,12,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'macro_f1', 'WV:weighting': 'logarithmic'}",1.4960110187530518,0.8397590361445784,0.7763645133183968,0.781344890355525,0.8397590361445784,0.7868968302039168,[0.88661417 0.68717949],0.8397590361445784,0.7763645133183968,[0.90224359 0.65048544],0.776364513318397
