task_id,accuracy,balanced_accuracy,f1_macro,jaccard_macro,jaccard_micro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo,roc_auc_ovr
6,0.97925,0.9790736852943687,0.9791030386724,0.9594970884326735,0.9593436198873377,0.97925,0.979348683292818,"[1.         0.97902098 0.96835443 0.98051948 0.98089172 0.99358974
 0.96052632 0.98726115 0.95151515 0.95483871 0.95744681 0.99337748
 0.99371069 0.97402597 0.98611111 1.         0.99319728 0.95031056
 0.99319728 0.9689441  0.98013245 0.97419355 0.99390244 1.
 0.95424837 0.99375   ]",0.97925,0.9790736852943686,"[0.99367089 0.92715232 0.98709677 0.98051948 0.95652174 0.98726115
 0.97986577 0.98726115 0.97515528 0.96732026 0.91836735 0.98684211
 1.         0.98039216 0.96598639 1.         0.99319728 0.98709677
 0.96688742 0.99363057 0.98013245 0.96178344 1.         0.99328859
 0.98648649 1.        ]",-1,-1
184,0.8807911617961511,0.8371314528178667,0.844997913135315,0.7379616472795872,0.7869765960834262,0.8807911617961511,0.855897693210984,"[0.84033613 0.8902439  0.89977221 0.90512541 0.83928571 1.
 0.79487179 0.86666667 0.85006693 0.87108014 0.83645656 0.86350975
 0.97711268 0.75       0.84496124 0.78787879 0.73333333 0.85545723]",0.8807911617961511,0.8371314528178666,"[0.84745763 0.87008343 0.91224018 0.91108672 0.95918367 0.8125
 0.775      0.83333333 0.88194444 0.87108014 0.85989492 0.78085642
 0.99284436 0.6        0.79562044 0.82978723 0.6875     0.84795322]",-1,-1
554,0.9416428571428571,0.9406920121398341,0.9410582357717849,0.8893201529846566,0.8897212661132483,0.9416428571428571,0.9419832241553733,"[0.91666667 0.93607641 0.95746215 0.95633803 0.8964539  0.96153846
 0.95018315 0.95246914 0.92987377 0.96277056]",0.9416428571428571,0.9406920121398343,"[0.93207283 0.91588785 0.96581818 0.9307745  0.92600733 0.9775525
 0.95018315 0.97968254 0.94849785 0.88044339]",-1,-1
1459,0.9456947162426614,0.9444734401866655,0.9425348255382033,0.8924161131482243,0.896983758700696,0.9456947162426614,0.9419099994027835,"[0.98058252 0.91902834 0.92857143 0.97090909 0.86821705 0.94387755
 0.92528736 0.98684211 0.96721311 0.92857143]",0.9456947162426614,0.9444734401866655,"[1.         0.95378151 0.9790795  0.9434629  0.93333333 0.925
 0.99382716 0.9375     0.885      0.89375   ]",-1,-1
1461,0.886431493973239,0.8204896823320664,0.7679277572406995,0.6532328218658646,0.7960278053624628,0.886431493973239,0.7364051302021486,[0.96263298 0.51017728],0.886431493973239,0.8204896823320664,[0.90657483 0.73440454],0.8204896823320663,0.8204896823320663
1489,0.9232192414431082,0.9013844616578857,0.9062417381690581,0.8309938983430363,0.8573883161512027,0.9232192414431082,0.9115461796382849,[0.93822394 0.88486842],0.9232192414431082,0.9013844616578857,[0.95418848 0.84858044],0.9013844616578857,0.9013844616578857
1590,0.8556658818712253,0.8312547291368011,0.8124106265903359,0.6938288280938607,0.7477413006530101,0.8556658818712253,0.7988200603755244,[0.66934307 0.92829706],0.8556658818712253,0.8312547291368011,[0.78443114 0.87807832],-1,-1
4135,0.057827281049740616,0.5,0.05466608971585172,0.028913640524870308,0.02977453059941865,0.057827281049740616,0.028913640524870308,[0.05782728 0.        ],0.057827281049740616,0.5,[1. 0.],0.5,0.5
4538,0.7453164556962025,0.6982611260704751,0.7168908570972277,0.5627772774087874,0.5940274414850686,0.7453164556962025,0.7494661807457332,[0.76424051 0.76829268 0.7239819  0.75324675 0.73756906],0.7453164556962025,0.6982611260704751,[0.88138686 0.58064516 0.81355932 0.58       0.63571429],-1,-1
40668,0.8384399052693902,0.7191113623748175,0.7158541057200131,0.5952129133735214,0.7218222363810131,0.8384399052693902,0.7134795412396521,[0.91728814 0.41188811 0.81126238],0.8384399052693902,0.7191113623748175,[0.91264755 0.45658915 0.78809739],-1,-1
40701,0.952,0.856463478067025,0.8910319276451999,0.8132739420935412,0.9083969465648855,0.952,0.9375247013042289,[0.91891892 0.95613048],0.952,0.856463478067025,[0.72340426 0.9895227 ],0.8564634780670249,0.8564634780670249
40926,0.4465,0.4464610666513981,0.44114151089446557,0.2868778140768048,0.28741551335693594,0.4465,0.44522224962078927,"[0.41061947 0.59433962 0.51937984 0.35869565 0.45733042 0.39120879
 0.33123028 0.46888889 0.49781659 0.42271293]",0.4465,0.4464610666513981,"[0.57142857 0.4725     0.50886076 0.24565757 0.52777778 0.445
 0.25798526 0.52618454 0.56296296 0.34625323]",-1,-1
40927,0.44433333333333336,0.44433333333333336,0.4365877467812672,0.28318106417997846,0.2856224555388901,0.44433333333333336,0.44057118019976826,"[0.52365931 0.43820225 0.40647198 0.38980263 0.52385082 0.35844156
 0.41092489 0.51639344 0.46345257 0.37451235]",0.44433333333333336,0.4443333333333334,"[0.415      0.5525     0.42916667 0.395      0.50333333 0.23
 0.55166667 0.63       0.49666667 0.24      ]",-1,-1
40983,0.987603305785124,0.9390325831373867,0.9390325831373867,0.8900441319470417,0.9755102040816327,0.987603305785124,0.9390325831373867,[0.99344978 0.88461538],0.987603305785124,0.9390325831373867,[0.99344978 0.88461538],0.9390325831373867,0.9390325831373867
40996,0.8511428571428571,0.8511428571428571,0.8483679490000284,0.7527806196560956,0.7408604824670479,0.8511428571428571,0.849232469161846,"[0.96108664 0.80382775 0.68083097 0.91499654 0.80466289 0.93902439
 0.76218612 0.72402597 0.91280277 0.98888065]",0.8511428571428571,0.8511428571428571,"[0.935      0.84       0.515      0.94571429 0.91214286 0.935
 0.73714286 0.79642857 0.94214286 0.95285714]",-1,-1
41027,0.9175591253904507,0.8703198934099984,0.8865593706733944,0.8009894651603385,0.8476759765021128,0.9175591253904507,0.9068143289951603,[0.87961696 0.91695205 0.92387397],0.9175591253904507,0.8703198934099984,[0.74163783 0.92221584 0.947106  ],-1,-1
41156,0.8313253012048193,0.7902663679362709,0.7809597056339728,0.6529055739582055,0.711340206185567,0.8313253012048193,0.7733399753853367,[0.90066225 0.6460177 ],0.8313253012048193,0.7902663679362709,[0.87179487 0.70873786],0.7902663679362709,0.7902663679362709
41166,0.6678099811353113,0.6183214407835506,0.6122245306166573,0.4541699283394361,0.501287332646756,0.6678099811353113,0.6172962573047742,"[0.83528198 0.63205499 0.55277476 0.61565836 0.46357616 0.50310559
 0.66408269 0.72957198 0.61625    0.56060606]",0.6678099811353113,0.6183214407835504,"[0.94845763 0.75824653 0.72571429 0.58445946 0.51470588 0.41467577
 0.72804533 0.60926076 0.5236325  0.37601626]",-1,-1
41168,0.6869290022093509,0.5789880144213848,0.5682133579441148,0.42368711407629267,0.5231468849477034,0.6869290022093509,0.5613763929596042,[0.5943031  0.80928189 0.61490909 0.22701149],0.6869290022093509,0.5789880144213848,[0.72921615 0.76495782 0.58735672 0.23442136],-1,-1
42769,0.74656,0.7448979255612366,0.7452263817629317,0.5942570578829813,0.595608884350268,0.74656,0.7457909836489562,[0.75485316 0.73672881],0.74656,0.7448979255612366,[0.77267323 0.71712262],0.7448979255612367,0.7448979255612367

