,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy
0,Fusion,5,5,13,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",4.243056774139404,0.8223021778147611
1,Model,5,5,89,QDA,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'QDA', 'Enc:ENC:encoder': 'one-hot', 'QDA:reg_param': 0.006451519947063056}",12.497675895690918,0.8013780482916613
2,Model,5,5,62,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 2.4750906590230603e-05, 'DTREE:criterion': 'gini', 'DTREE:max_depth_fraction': 0.798410642758165, 'DTREE:min_samples_leaf': 6, 'DTREE:min_samples_split': 7, 'Enc:ENC:encoder': 'one-hot'}",15.092828273773193,0.7628418932184762
3,Model,5,5,134,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 4.941186960952426e-05, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 1.7028685946240343, 'DTREE:min_samples_leaf': 1, 'DTREE:min_samples_split': 2, 'Enc:ENC:encoder': 'one-hot'}",15.63860011100769,0.7545131128465477
4,Model,5,5,123,AB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'AB', 'AB:algorithm': 'SAMME.R', 'AB:learning_rate': 1.813406109783512, 'AB:n_estimators': 17, 'Enc:ENC:encoder': 'one-hot'}",59.894081592559814,0.7186151170718784
5,Model,5,5,70,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 1.5637777953053066e-10, 'GB:learning_rate': 0.14025141482186096, 'GB:min_samples_leaf': 126}",56.36311078071594,0.8050994231457473
