,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy
0,Fusion,19,19,20,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 19, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.8822541236877441,0.971606448895724
1,Model,19,19,21,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'RF:bootstrap': False, 'RF:ccp_alpha': 0.0008184837521852349, 'RF:criterion': 'entropy', 'RF:max_features': 0.922661496570616, 'RF:min_samples_leaf': 6, 'RF:min_samples_split': 8, 'RF:n_estimators': 87}",12.151439666748047,0.9222997296475208
2,Model,19,19,64,MLP,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLP', 'MLP:activation': 'relu', 'MLP:alpha': 0.0023896501134697233, 'MLP:n_hidden_layers': 3, 'MLP:n_neurons_layer': 119, 'MLP:solver': 'lbfgs', 'MLP:tol': 0.010612638033671377}",65.42366456985474,0.8979968231988377
3,Model,19,19,66,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.0004529037422329737, 'RF:criterion': 'entropy', 'RF:max_features': 0.8893616434777717, 'RF:min_samples_leaf': 3, 'RF:min_samples_split': 3, 'RF:n_estimators': 184}",17.595283269882202,0.9092435235585279
4,Model,19,19,1184,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 0.013758533606839022, 'GB:learning_rate': 0.1074553192634414, 'GB:min_samples_leaf': 146}",2.7386581897735596,0.9187673330823374
5,Model,19,19,499,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 5.068877606916744e-10, 'GB:learning_rate': 0.13024923350659004, 'GB:min_samples_leaf': 24}",4.154164791107178,0.9236482854632897
6,Model,19,19,785,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 0.0009326419843090034, 'GB:learning_rate': 0.16346443811477254, 'GB:min_samples_leaf': 141}",3.043372631072998,0.9169152643860065
7,Model,19,19,205,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 0.0001243354162963874, 'GB:learning_rate': 0.04686113283487418, 'GB:min_samples_leaf': 5}",4.1417810916900635,0.9233750614195738
8,Model,19,19,527,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.0005336909576125558, 'RF:criterion': 'entropy', 'RF:max_features': 0.8522676814913739, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 8, 'RF:n_estimators': 42}",5.016767501831055,0.9191592325052593
9,Model,19,19,818,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'SVM:C': 31.742677716090583, 'SVM:gamma': 0.0013642686606431932, 'SVM:kernel': 'rbf', 'SVM:tol': 7.23145065765458e-05}",1.5631918907165527,0.9245100579205194
