,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy
0,Fusion,8,8,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 8, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.971907138824463,0.9035710196825715
1,Model,8,8,786,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 0.00017242812418592833, 'GB:learning_rate': 0.28988579231692063, 'GB:min_samples_leaf': 14}",8.730629444122314,0.8580266295187421
2,Model,8,8,108,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': False, 'RF:ccp_alpha': 0.000699839006277936, 'RF:criterion': 'entropy', 'RF:max_features': 0.5118797704917625, 'RF:min_samples_leaf': 5, 'RF:min_samples_split': 8, 'RF:n_estimators': 21}",10.41996431350708,0.8596416289894171
3,Model,8,8,350,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 3.1563662386457935e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 0.3839332608162368, 'XT:max_features': 0.7994059828818036, 'XT:min_samples_leaf': 4, 'XT:min_samples_split': 4, 'XT:n_estimators': 190}",24.907873153686523,0.8746326542507192
4,Model,8,8,367,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': True, 'XT:ccp_alpha': 2.3830072410197745e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.2440112130765681, 'XT:max_features': 0.9119131155997021, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 5, 'XT:n_estimators': 28}",4.096594333648682,0.8697136915616046
5,Model,8,8,1,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.0, 'RF:criterion': 'gini', 'RF:max_features': 0.5, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 2, 'RF:n_estimators': 50}",21.543182134628296,0.8690580345619624
6,Model,8,8,66,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 0.0004208530585258804, 'XT:criterion': 'entropy', 'XT:max_depth_fraction': 0.674174010565346, 'XT:max_features': 0.869674628966174, 'XT:min_samples_leaf': 2, 'XT:min_samples_split': 6, 'XT:n_estimators': 126}",20.433223009109497,0.8856890015142269
7,Model,8,8,271,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 0.00014455563856688382, 'XT:criterion': 'entropy', 'XT:max_depth_fraction': 1.1384211390321948, 'XT:max_features': 0.5508068048082122, 'XT:min_samples_leaf': 2, 'XT:min_samples_split': 8, 'XT:n_estimators': 9}",2.365185022354126,0.8588704497361105
8,Model,8,8,543,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': False, 'XT:ccp_alpha': 8.599124280332149e-05, 'XT:criterion': 'entropy', 'XT:max_depth_fraction': 1.8416561333644332, 'XT:max_features': 0.80034367071645, 'XT:min_samples_leaf': 4, 'XT:min_samples_split': 8, 'XT:n_estimators': 8}",3.0573296546936035,0.8719570639936338
