,size,true size,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo,doublefault_norm,doublefault,disagreement,yulesq,correlation,kappa-error
0,2,2,5,COS,"{'Div:algorithm': 'NODIV', 'ENS:size': 2, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'COS'}",3.3625292778015137,0.388,0.3881094203120677,0.3847968068275963,0.388,0.3842818981935989,"[0.42592593 0.41255605 0.29461756 0.29461756 0.37096774 0.33591731
 0.3950104  0.45663265 0.41647597 0.4400978 ]",0.388,0.3881094203120677,"[0.45885287 0.46582278 0.25552826 0.25806452 0.2875     0.33591731
 0.4679803  0.4475     0.44938272 0.45454545]",0.6600294810144081,0.48,0.52,0.21,0.857,0.554,0.0
1,3,3,5,COS,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'COS'}",6.447757959365845,0.3965,0.3967465481149381,0.3916905154917022,0.3965,0.391083293310712,"[0.43429844 0.42488263 0.30136986 0.30194805 0.35675676 0.35036496
 0.38627451 0.47439353 0.44930876 0.43123543]",0.3965,0.3967465481149381,"[0.48628429 0.45822785 0.21621622 0.23076923 0.33       0.37209302
 0.48522167 0.44       0.48148148 0.46717172]",0.6648016760931558,0.494,0.506,0.262,0.735,0.433,0.0
2,4,4,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",3.7429139614105225,0.40225,0.40251577570360986,0.39683054908500137,0.40225,0.39559628069571745,"[0.43721973 0.42889391 0.31448763 0.28664495 0.35400517 0.35917313
 0.40080972 0.47927461 0.45626478 0.43918919]",0.40225,0.40251577570360986,"[0.48628429 0.48101266 0.21867322 0.21836228 0.3425     0.35917313
 0.48768473 0.4625     0.47654321 0.49242424]",0.6680024022466957,0.48,0.52,0.229,0.788,0.505,0.0
3,5,5,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",6.4888129234313965,0.4,0.4002838535847403,0.3950392322076379,0.4,0.39384837220466484,"[0.45323741 0.43409091 0.31372549 0.27516779 0.34828496 0.355
 0.39156627 0.48031496 0.4631829  0.42391304]",0.4,0.4002838535847403,"[0.4713217  0.4835443  0.23587224 0.20347395 0.33       0.36692506
 0.48029557 0.4575     0.48148148 0.49242424]",0.666759157225745,0.472,0.528,0.273,0.663,0.388,0.0
4,6,6,6,DS,"{'Div:algorithm': 'NODIV', 'ENS:size': 6, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DS', 'DS:similarity': 'manhattan'}",64.62645268440247,0.3895,0.3897476378754401,0.38257584852544524,0.3895,0.3811530236939049,"[0.43507973 0.40611354 0.30111524 0.271777   0.33244681 0.35967302
 0.38047809 0.46268657 0.4380531  0.42410714]",0.3895,0.3897476378754401,"[0.47630923 0.47088608 0.1990172  0.19354839 0.3125     0.34108527
 0.47044335 0.465      0.48888889 0.47979798]",0.66091051826503,0.465,0.535,0.245,0.709,0.454,0.0
5,7,6,6,DS,"{'Div:algorithm': 'NODIV', 'ENS:size': 7, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DS', 'DS:similarity': 'manhattan'}",50.48346161842346,0.3895,0.3897476378754401,0.38257584852544524,0.3895,0.3811530236939049,"[0.43507973 0.40611354 0.30111524 0.271777   0.33244681 0.35967302
 0.38047809 0.46268657 0.4380531  0.42410714]",0.3895,0.3897476378754401,"[0.47630923 0.47088608 0.1990172  0.19354839 0.3125     0.34108527
 0.47044335 0.465      0.48888889 0.47979798]",0.66091051826503,0.465,0.535,0.245,0.709,0.454,0.0
6,8,8,11,DS,"{'Div:algorithm': 'NODIV', 'ENS:size': 8, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DS', 'DS:similarity': 'symmetric_diff'}",77.9370481967926,0.388,0.38815198456937366,0.38139372390442805,0.388,0.37989494010519675,"[0.43303571 0.40707965 0.30103806 0.27915194 0.32198953 0.35428571
 0.38492872 0.46       0.43708609 0.42035398]",0.388,0.38815198456937366,"[0.48379052 0.46582278 0.21375921 0.19602978 0.3075     0.32041344
 0.46551724 0.46       0.48888889 0.47979798]",0.6600451795134361,0.427,0.573,0.284,0.52,0.312,0.0
7,9,8,11,DS,"{'Div:algorithm': 'NODIV', 'ENS:size': 9, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DS', 'DS:similarity': 'symmetric_diff'}",68.11205625534058,0.388,0.38815198456937366,0.38139372390442805,0.388,0.37989494010519675,"[0.43303571 0.40707965 0.30103806 0.27915194 0.32198953 0.35428571
 0.38492872 0.46       0.43708609 0.42035398]",0.388,0.38815198456937366,"[0.48379052 0.46582278 0.21375921 0.19602978 0.3075     0.32041344
 0.46551724 0.46       0.48888889 0.47979798]",0.6600451795134361,0.427,0.573,0.284,0.52,0.312,0.0
8,10,8,11,DS,"{'Div:algorithm': 'NODIV', 'ENS:size': 10, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DS', 'DS:similarity': 'symmetric_diff'}",68.09576606750488,0.388,0.38815198456937366,0.38139372390442805,0.388,0.37989494010519675,"[0.43303571 0.40707965 0.30103806 0.27915194 0.32198953 0.35428571
 0.38492872 0.46       0.43708609 0.42035398]",0.388,0.38815198456937366,"[0.48379052 0.46582278 0.21375921 0.19602978 0.3075     0.32041344
 0.46551724 0.46       0.48888889 0.47979798]",0.6600451795134361,0.427,0.573,0.284,0.52,0.312,0.0
