,size,true size,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo,doublefault_norm,doublefault,disagreement,yulesq,correlation,kappa-error
0,2,2,33,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 2, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'micro_recall', 'WV:weighting': 'rescaled'}",1.2272393703460693,0.9408023483365949,0.9330495424706491,0.9333455544926418,0.9408023483365949,0.9339332964353494,"[0.94650206 0.85217391 0.94285714 0.98181818 0.94578313 1.
 0.86829268 0.89171975 0.97881356 0.93137255]",0.9408023483365949,0.9330495424706491,"[0.9623431  0.81666667 0.97058824 0.9540636  0.9691358  0.98019802
 0.89       0.875      0.9625     0.95      ]",0.9648370816317925,0.945,0.055,0.024,0.997,0.813,0.297
1,3,3,7,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'micro_f1', 'WV:weighting': 'bw'}",1.2196485996246338,0.9408023483365949,0.9330495424706491,0.9333455544926418,0.9408023483365949,0.9339332964353494,"[0.94650206 0.85217391 0.94285714 0.98181818 0.94578313 1.
 0.86829268 0.89171975 0.97881356 0.93137255]",0.9408023483365949,0.9330495424706491,"[0.9623431  0.81666667 0.97058824 0.9540636  0.9691358  0.98019802
 0.89       0.875      0.9625     0.95      ]",0.9648370816317925,0.945,0.055,0.02,0.997,0.842,0.226
2,4,4,12,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'micro_precision', 'WV:weighting': 'rescaled'}",1.2851121425628662,0.9417808219178082,0.9340361547302015,0.9351190855133481,0.9417808219178082,0.9367118510145847,"[0.9382716  0.88288288 0.94285714 0.98181818 0.95731707 1.
 0.86829268 0.90322581 0.9789916  0.91346154]",0.9417808219178082,0.9340361547302015,"[0.9539749  0.81666667 0.97058824 0.9540636  0.9691358  0.99009901
 0.89       0.875      0.97083333 0.95      ]",0.9653472242338493,0.945,0.055,0.02,0.997,0.841,0.204
3,5,5,36,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'bw_quadratic'}",1.4250497817993164,0.9427592954990215,0.9350361547302015,0.9358058298019507,0.9427592954990215,0.9370240231897855,"[0.9539749  0.88288288 0.94285714 0.98181818 0.95731707 1.
 0.86956522 0.88050314 0.9789916  0.9223301 ]",0.9427592954990215,0.9350361547302015,"[0.9539749  0.81666667 0.97058824 0.9540636  0.9691358  0.99009901
 0.9        0.875      0.97083333 0.95      ]",0.9659241046245142,0.946,0.054,0.021,0.996,0.831,0.199
4,6,6,32,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 6, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'micro_recall', 'WV:weighting': 'bw_quadratic'}",1.348320722579956,0.9437377690802349,0.9367028213968682,0.9374761635807793,0.9437377690802349,0.9386685056586088,"[0.94605809 0.88495575 0.94285714 0.98181818 0.95731707 1.
 0.88669951 0.90322581 0.9789916  0.9047619 ]",0.9437377690802349,0.9367028213968682,"[0.9539749  0.83333333 0.97058824 0.9540636  0.9691358  0.99009901
 0.9        0.875      0.97083333 0.95      ]",0.9666500323624282,0.947,0.053,0.021,0.996,0.828,0.183
5,7,7,7,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 7, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'micro_f1', 'WV:weighting': 'bw'}",1.292057991027832,0.9417808219178082,0.9340460557203005,0.93455421361418,0.9417808219178082,0.9353952124215452,"[0.94605809 0.85217391 0.94285714 0.98181818 0.95731707 1.
 0.87804878 0.90322581 0.9789916  0.91346154]",0.9417808219178082,0.9340460557203005,"[0.9539749  0.81666667 0.97058824 0.9540636  0.9691358  0.98019802
 0.9        0.875      0.97083333 0.95      ]",0.9653758548794483,0.947,0.053,0.022,0.995,0.821,0.178
6,8,8,20,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 8, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'symmetric_diff'}",2.4438483715057373,0.9417808219178082,0.9344528213968681,0.9351987280607871,0.9417808219178082,0.9363925959167994,"[0.94605809 0.86956522 0.94285714 0.98181818 0.95731707 1.
 0.86956522 0.91390728 0.9789916  0.90384615]",0.9417808219178082,0.9344528213968681,"[0.9539749  0.83333333 0.97058824 0.9540636  0.9691358  0.99009901
 0.9        0.8625     0.97083333 0.94      ]",0.9654814019536434,0.946,0.054,0.022,0.995,0.824,0.17
7,9,9,73,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 9, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'bw'}",1.340101957321167,0.9388454011741683,0.9307960557203006,0.9315450427118434,0.9388454011741683,0.9326644978890005,"[0.93061224 0.85217391 0.94285714 0.98181818 0.95731707 1.
 0.86829268 0.90196078 0.9789916  0.91262136]",0.9388454011741683,0.9307960557203006,"[0.9539749  0.81666667 0.97058824 0.9540636  0.9691358  0.98019802
 0.89       0.8625     0.97083333 0.94      ]",0.963640287364771,0.946,0.054,0.021,0.996,0.83,0.165
8,10,10,10,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 10, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'symmetric_diff'}",2.529334783554077,0.9417808219178082,0.9344528213968681,0.935304379223971,0.9417808219178082,0.9365738881253293,"[0.93061224 0.86956522 0.94285714 0.98181818 0.95731707 1.
 0.87804878 0.91390728 0.9789916  0.91262136]",0.9417808219178082,0.9344528213968681,"[0.9539749  0.83333333 0.97058824 0.9540636  0.9691358  0.99009901
 0.9        0.8625     0.97083333 0.94      ]",0.9654681517905644,0.947,0.053,0.02,0.996,0.832,0.163
9,11,11,28,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 11, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'symmetric_diff'}",2.4428513050079346,0.9427592954990215,0.9354528213968681,0.9361791202176498,0.9427592954990215,0.9373541343783378,"[0.94605809 0.86956522 0.94285714 0.98181818 0.95731707 1.
 0.86956522 0.91390728 0.9789916  0.91346154]",0.9427592954990215,0.9354528213968681,"[0.9539749  0.83333333 0.97058824 0.9540636  0.9691358  0.99009901
 0.9        0.8625     0.97083333 0.95      ]",0.9660296529321174,0.946,0.054,0.02,0.996,0.832,0.16
10,12,12,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 12, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",6.529711008071899,0.9427592954990215,0.9354528213968681,0.9361791202176498,0.9427592954990215,0.9373541343783378,"[0.94605809 0.86956522 0.94285714 0.98181818 0.95731707 1.
 0.86956522 0.91390728 0.9789916  0.91346154]",0.9427592954990215,0.9354528213968681,"[0.9539749  0.83333333 0.97058824 0.9540636  0.9691358  0.99009901
 0.9        0.8625     0.97083333 0.95      ]",0.9660296529321174,0.946,0.054,0.02,0.996,0.837,0.153
11,13,13,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 13, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",7.2337000370025635,0.9417808219178082,0.9346194880635348,0.9351042543773292,0.9417808219178082,0.9361046536237694,"[0.9539749  0.86956522 0.94285714 0.98181818 0.94578313 1.
 0.86956522 0.91390728 0.97881356 0.9047619 ]",0.9417808219178082,0.9346194880635348,"[0.9539749  0.83333333 0.97058824 0.9540636  0.9691358  0.99009901
 0.9        0.8625     0.9625     0.95      ]",0.9655418317572241,0.946,0.054,0.02,0.996,0.835,0.151
12,14,14,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 14, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",7.553548097610474,0.9427592954990215,0.9358694880635348,0.9362519431163185,0.9427592954990215,0.9370655494304545,"[0.9539749  0.86956522 0.94285714 0.98181818 0.94578313 1.
 0.87804878 0.91503268 0.97881356 0.9047619 ]",0.9427592954990215,0.9358694880635348,"[0.9539749  0.83333333 0.97058824 0.9540636  0.9691358  0.99009901
 0.9        0.875      0.9625     0.95      ]",0.9661676471518752,0.946,0.054,0.02,0.996,0.838,0.15
13,15,15,12,DS,"{'Div:algorithm': 'NODIV', 'ENS:size': 15, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DS', 'DS:similarity': 'symmetric_diff'}",85.29467582702637,0.9417808219178082,0.9350326679798527,0.9354238605415995,0.9417808219178082,0.9362257843372566,"[0.9535865  0.86956522 0.94285714 0.98181818 0.94578313 1.
 0.86956522 0.91503268 0.97058824 0.91346154]",0.9417808219178082,0.9350326679798527,"[0.94560669 0.83333333 0.97058824 0.9540636  0.9691358  0.99009901
 0.9        0.875      0.9625     0.95      ]",0.965663285188523,0.946,0.054,0.019,0.996,0.839,0.149
14,16,16,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 16, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",8.4168119430542,0.9417808219178082,0.9348793890536339,0.9350487858653068,0.9417808219178082,0.9356007202217228,"[0.9539749  0.85470085 0.94285714 0.98181818 0.94578313 1.
 0.86956522 0.91503268 0.97881356 0.91346154]",0.9417808219178082,0.9348793890536339,"[0.9539749  0.83333333 0.97058824 0.9540636  0.9691358  0.98019802
 0.9        0.875      0.9625     0.95      ]",0.9656318548250885,0.946,0.054,0.019,0.996,0.839,0.149
15,17,17,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 17, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",8.81852412223816,0.9398238747553816,0.9327925689699519,0.9330597588026184,0.9398238747553816,0.933794688745922,"[0.9535865  0.85470085 0.94285714 0.98181818 0.94578313 1.
 0.86124402 0.91390728 0.97058824 0.91346154]",0.9398238747553816,0.9327925689699519,"[0.94560669 0.83333333 0.97058824 0.9540636  0.9691358  0.98019802
 0.9        0.8625     0.9625     0.95      ]",0.9645016774670856,0.946,0.054,0.019,0.996,0.84,0.148
16,18,18,13,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 18, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'micro_precision', 'WV:weighting': 'bw_quadratic'}",1.5254802703857422,0.9408023483365949,0.9336293890536339,0.9339053690132296,0.9408023483365949,0.9346560608994331,"[0.9539749  0.85470085 0.94285714 0.98181818 0.94578313 1.
 0.86124402 0.91390728 0.97881356 0.91346154]",0.9408023483365949,0.9336293890536339,"[0.9539749  0.83333333 0.97058824 0.9540636  0.9691358  0.98019802
 0.9        0.8625     0.9625     0.95      ]",0.9650060394304375,0.946,0.054,0.019,0.996,0.84,0.144
17,19,19,15,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 19, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'symmetric_diff'}",2.678734302520752,0.9408023483365949,0.9336293890536339,0.9342260767981957,0.9408023483365949,0.9353508167573598,"[0.94605809 0.86956522 0.94285714 0.98181818 0.94578313 1.
 0.86124402 0.91390728 0.97881356 0.91346154]",0.9408023483365949,0.9336293890536339,"[0.9539749  0.83333333 0.97058824 0.9540636  0.9691358  0.98019802
 0.9        0.8625     0.9625     0.95      ]",0.9649898674365257,0.946,0.054,0.02,0.996,0.839,0.147
